dataset,backbone,variant,split,selected_depth,val_metric,test_metric,metric_name,source
roman-empire,GCN,ENS,0,5,0.7586936950683594,0.7500882148742676,acc,results2/roman_empire/ensemble.csv
roman-empire,GCN,ENS,1,4,0.7505736947059631,0.7380868196487427,acc,results2/roman_empire/ensemble.csv
roman-empire,GCN,ENS,2,5,0.760811984539032,0.7622660994529724,acc,results2/roman_empire/ensemble.csv
roman-empire,GCN,ENS,3,4,0.7578111290931702,0.753618061542511,acc,results2/roman_empire/ensemble.csv
roman-empire,GCN,ENS,4,3,0.7560458779335022,0.7423226237297058,acc,results2/roman_empire/ensemble.csv
roman-empire,GCN,ENS,5,4,0.7583406567573547,0.753618061542511,acc,results2/roman_empire/ensemble.csv
roman-empire,GCN,ENS,6,5,0.7565754652023315,0.7619131207466125,acc,results2/roman_empire/ensemble.csv
roman-empire,GCN,ENS,7,5,0.7602823972702026,0.7509706616401672,acc,results2/roman_empire/ensemble.csv
roman-empire,GCN,ENS,8,5,0.7495145201683044,0.7545005083084106,acc,results2/roman_empire/ensemble.csv
roman-empire,GCN,ENS,9,5,0.7597528696060181,0.7571478486061096,acc,results2/roman_empire/ensemble.csv
roman-empire,SAGE,ENS,0,5,0.8762577176094055,0.8701023459434509,acc,results2/roman_empire/ensemble.csv
roman-empire,SAGE,ENS,1,5,0.8799646496772766,0.8780444264411926,acc,results2/roman_empire/ensemble.csv
roman-empire,SAGE,ENS,2,5,0.8690202832221985,0.8731026649475098,acc,results2/roman_empire/ensemble.csv
roman-empire,SAGE,ENS,3,5,0.8801411986351013,0.8768090009689331,acc,results2/roman_empire/ensemble.csv
roman-empire,SAGE,ENS,4,5,0.8723742365837097,0.8739851713180542,acc,results2/roman_empire/ensemble.csv
roman-empire,SAGE,ENS,5,5,0.8718446493148804,0.8851041197776794,acc,results2/roman_empire/ensemble.csv
roman-empire,SAGE,ENS,6,5,0.8729037642478943,0.87239670753479,acc,results2/roman_empire/ensemble.csv
roman-empire,SAGE,ENS,7,5,0.8718446493148804,0.8746911287307739,acc,results2/roman_empire/ensemble.csv
