policy,dataset,backbone,variant,split,selected_depth,test_metric,metric_name
per_split_validation,roman-empire,ResNet,BASE,1,1,0.6643134355545044,acc
per_split_validation,roman-empire,ResNet,BASE,2,2,0.6574302911758423,acc
per_split_validation,roman-empire,ResNet,BASE,3,5,0.6613130569458008,acc
per_split_validation,roman-empire,ResNet,BASE,4,5,0.6567242741584778,acc
per_split_validation,roman-empire,ResNet,BASE,5,5,0.6623720526695251,acc
per_split_validation,roman-empire,ResNet,BASE,6,2,0.6560183167457581,acc
per_split_validation,roman-empire,ResNet,BASE,7,2,0.6614895462989807,acc
per_split_validation,roman-empire,ResNet,BASE,8,4,0.6590186953544617,acc
per_split_validation,roman-empire,ResNet,BASE,9,3,0.6528415083885193,acc
mean_validation,roman-empire,ResNet,BASE,0,3,0.656194806098938,acc
mean_validation,roman-empire,ResNet,BASE,1,3,0.6644899249076843,acc
mean_validation,roman-empire,ResNet,BASE,2,3,0.6576067805290222,acc
mean_validation,roman-empire,ResNet,BASE,3,3,0.6625485420227051,acc
mean_validation,roman-empire,ResNet,BASE,4,3,0.6570773124694824,acc
mean_validation,roman-empire,ResNet,BASE,5,3,0.6524885296821594,acc
mean_validation,roman-empire,ResNet,BASE,6,3,0.6530179977416992,acc
mean_validation,roman-empire,ResNet,BASE,7,3,0.6616660356521606,acc
mean_validation,roman-empire,ResNet,BASE,8,3,0.662725031375885,acc
mean_validation,roman-empire,ResNet,BASE,9,3,0.6528415083885193,acc
split0_validation,roman-empire,ResNet,BASE,0,3,0.656194806098938,acc
split0_validation,roman-empire,ResNet,BASE,1,3,0.6644899249076843,acc
split0_validation,roman-empire,ResNet,BASE,2,3,0.6576067805290222,acc
split0_validation,roman-empire,ResNet,BASE,3,3,0.6625485420227051,acc
split0_validation,roman-empire,ResNet,BASE,4,3,0.6570773124694824,acc
split0_validation,roman-empire,ResNet,BASE,5,3,0.6524885296821594,acc
split0_validation,roman-empire,ResNet,BASE,6,3,0.6530179977416992,acc
split0_validation,roman-empire,ResNet,BASE,7,3,0.6616660356521606,acc
split0_validation,roman-empire,ResNet,BASE,8,3,0.662725031375885,acc
split0_validation,roman-empire,ResNet,BASE,9,3,0.6528415083885193,acc
per_split_validation,roman-empire,TAG,BASE,0,5,0.8709847927093506,acc
per_split_validation,roman-empire,TAG,BASE,1,4,0.8736321926116943,acc
per_split_validation,roman-empire,TAG,BASE,2,5,0.8732791543006897,acc
per_split_validation,roman-empire,TAG,BASE,3,5,0.8709847927093506,acc
per_split_validation,roman-empire,TAG,BASE,4,5,0.8743381500244141,acc
per_split_validation,roman-empire,TAG,BASE,5,5,0.8854570984840393,acc
per_split_validation,roman-empire,TAG,BASE,6,5,0.8778679370880127,acc
per_split_validation,roman-empire,TAG,BASE,7,5,0.8761030435562134,acc
per_split_validation,roman-empire,TAG,BASE,8,5,0.8639251589775085,acc
per_split_validation,roman-empire,TAG,BASE,9,4,0.8755735754966736,acc
mean_validation,roman-empire,TAG,BASE,0,5,0.8709847927093506,acc
mean_validation,roman-empire,TAG,BASE,1,5,0.8798093795776367,acc
mean_validation,roman-empire,TAG,BASE,2,5,0.8732791543006897,acc
mean_validation,roman-empire,TAG,BASE,3,5,0.8709847927093506,acc
mean_validation,roman-empire,TAG,BASE,4,5,0.8743381500244141,acc
mean_validation,roman-empire,TAG,BASE,5,5,0.8854570984840393,acc
mean_validation,roman-empire,TAG,BASE,6,5,0.8778679370880127,acc
mean_validation,roman-empire,TAG,BASE,7,5,0.8761030435562134,acc
mean_validation,roman-empire,TAG,BASE,8,5,0.8639251589775085,acc
mean_validation,roman-empire,TAG,BASE,9,5,0.8718672394752502,acc
split0_validation,roman-empire,TAG,BASE,0,5,0.8709847927093506,acc
split0_validation,roman-empire,TAG,BASE,1,5,0.8798093795776367,acc
split0_validation,roman-empire,TAG,BASE,2,5,0.8732791543006897,acc
split0_validation,roman-empire,TAG,BASE,3,5,0.8709847927093506,acc
split0_validation,roman-empire,TAG,BASE,4,5,0.8743381500244141,acc
split0_validation,roman-empire,TAG,BASE,5,5,0.8854570984840393,acc
split0_validation,roman-empire,TAG,BASE,6,5,0.8778679370880127,acc
split0_validation,roman-empire,TAG,BASE,7,5,0.8761030435562134,acc
split0_validation,roman-empire,TAG,BASE,8,5,0.8639251589775085,acc
split0_validation,roman-empire,TAG,BASE,9,5,0.8718672394752502,acc
per_split_validation,roman-empire,GCN,ENS,0,5,0.7500882148742676,acc
per_split_validation,roman-empire,GCN,ENS,1,4,0.7380868196487427,acc
per_split_validation,roman-empire,GCN,ENS,2,5,0.7622660994529724,acc
per_split_validation,roman-empire,GCN,ENS,3,4,0.753618061542511,acc
per_split_validation,roman-empire,GCN,ENS,4,3,0.7423226237297058,acc
per_split_validation,roman-empire,GCN,ENS,5,4,0.753618061542511,acc
per_split_validation,roman-empire,GCN,ENS,6,5,0.7619131207466125,acc
per_split_validation,roman-empire,GCN,ENS,7,5,0.7509706616401672,acc
per_split_validation,roman-empire,GCN,ENS,8,5,0.7545005083084106,acc
per_split_validation,roman-empire,GCN,ENS,9,5,0.7571478486061096,acc
mean_validation,roman-empire,GCN,ENS,0,5,0.7500882148742676,acc
mean_validation,roman-empire,GCN,ENS,1,5,0.7313801646232605,acc
mean_validation,roman-empire,GCN,ENS,2,5,0.7622660994529724,acc
mean_validation,roman-empire,GCN,ENS,3,5,0.7605012059211731,acc
mean_validation,roman-empire,GCN,ENS,4,5,0.7267913818359375,acc
mean_validation,roman-empire,GCN,ENS,5,5,0.7484998106956482,acc
mean_validation,roman-empire,GCN,ENS,6,5,0.7619131207466125,acc
mean_validation,roman-empire,GCN,ENS,7,5,0.7509706616401672,acc
mean_validation,roman-empire,GCN,ENS,8,5,0.7545005083084106,acc
mean_validation,roman-empire,GCN,ENS,9,5,0.7571478486061096,acc
split0_validation,roman-empire,GCN,ENS,0,5,0.7500882148742676,acc
split0_validation,roman-empire,GCN,ENS,1,5,0.7313801646232605,acc
split0_validation,roman-empire,GCN,ENS,2,5,0.7622660994529724,acc
split0_validation,roman-empire,GCN,ENS,3,5,0.7605012059211731,acc
split0_validation,roman-empire,GCN,ENS,4,5,0.7267913818359375,acc
split0_validation,roman-empire,GCN,ENS,5,5,0.7484998106956482,acc
split0_validation,roman-empire,GCN,ENS,6,5,0.7619131207466125,acc
split0_validation,roman-empire,GCN,ENS,7,5,0.7509706616401672,acc
split0_validation,roman-empire,GCN,ENS,8,5,0.7545005083084106,acc
split0_validation,roman-empire,GCN,ENS,9,5,0.7571478486061096,acc
per_split_validation,roman-empire,SAGE,ENS,0,5,0.8701023459434509,acc
per_split_validation,roman-empire,SAGE,ENS,1,5,0.8780444264411926,acc
per_split_validation,roman-empire,SAGE,ENS,2,5,0.8731026649475098,acc
per_split_validation,roman-empire,SAGE,ENS,3,5,0.8768090009689331,acc
per_split_validation,roman-empire,SAGE,ENS,4,5,0.8739851713180542,acc
per_split_validation,roman-empire,SAGE,ENS,5,5,0.8851041197776794,acc
