policy,dataset,backbone,variant,metric_name,n_splits,mean_percent,population_sd_percent
per_split_validation,amazon-ratings,GAT-sep,ENS,acc,10,55.58386266231536,0.5062987955820837
mean_validation,amazon-ratings,GAT-sep,ENS,acc,10,55.65735638141632,0.4033977420733333
split0_validation,amazon-ratings,GAT-sep,ENS,acc,10,55.65735638141632,0.4033977420733333
per_split_validation,amazon-ratings,GT,ENS,acc,10,55.10697364807129,0.3933772160932897
mean_validation,amazon-ratings,GT,ENS,acc,10,55.10043978691102,0.3221812684967051
split0_validation,amazon-ratings,GT,ENS,acc,10,55.0498116016388,0.3748543267289479
per_split_validation,amazon-ratings,GT-sep,ENS,acc,10,54.896292090415955,0.4362206357236556
mean_validation,amazon-ratings,GT-sep,ENS,acc,10,55.056344866752625,0.48872713784359706
split0_validation,amazon-ratings,GT-sep,ENS,acc,10,54.821165800094604,0.3649754379894249
per_split_validation,amazon-ratings,ResNet,ENS,acc,10,49.516576528549194,0.6140200836638832
mean_validation,amazon-ratings,ResNet,ENS,acc,10,49.29772883653641,0.5377749042905252
split0_validation,amazon-ratings,ResNet,ENS,acc,10,49.39898669719696,0.4005841410767492
per_split_validation,amazon-ratings,TAG,ENS,acc,10,53.72203111648559,0.41626715981505047
mean_validation,amazon-ratings,TAG,ENS,acc,10,53.76449406147004,0.36394788094488406
split0_validation,amazon-ratings,TAG,ENS,acc,10,53.76449406147004,0.36394788094488406
per_split_validation,amazon-ratings,GCN,GNNM,acc,10,49.97713506221771,0.5742897790677612
mean_validation,amazon-ratings,GCN,GNNM,acc,10,50.05716145038605,0.501097818214057
split0_validation,amazon-ratings,GCN,GNNM,acc,10,49.46594774723053,0.6695190432379862
per_split_validation,amazon-ratings,SAGE,GNNM,acc,10,55.40911316871643,0.4522509705382112
mean_validation,amazon-ratings,SAGE,GNNM,acc,10,55.369916558265686,0.4980040741410366
split0_validation,amazon-ratings,SAGE,GNNM,acc,10,55.267025232315056,0.374565200476295
per_split_validation,amazon-ratings,GAT,GNNM,acc,10,52.89237201213837,0.44248206196477424
mean_validation,amazon-ratings,GAT,GNNM,acc,10,52.89237201213837,0.44248206196477424
split0_validation,amazon-ratings,GAT,GNNM,acc,10,52.89237201213837,0.44248206196477424
per_split_validation,amazon-ratings,GAT-sep,GNNM,acc,10,55.76514661312103,0.43568230170917066
mean_validation,amazon-ratings,GAT-sep,GNNM,acc,10,55.794544219970696,0.32029214319409277
split0_validation,amazon-ratings,GAT-sep,GNNM,acc,10,55.62306046485901,0.612859818951359
per_split_validation,amazon-ratings,GT,GNNM,acc,10,55.52833497524261,0.43024473419840326
mean_validation,amazon-ratings,GT,GNNM,acc,10,55.492405295372,0.4703930748138671
split0_validation,amazon-ratings,GT,GNNM,acc,10,55.05471169948578,0.33763824507621937
per_split_validation,amazon-ratings,GT-sep,GNNM,acc,10,55.31928598880768,0.4614612195745925
mean_validation,amazon-ratings,GT-sep,GNNM,acc,10,55.30295491218566,0.5255607968685141
split0_validation,amazon-ratings,GT-sep,GNNM,acc,10,55.30295491218566,0.5255607968685141
per_split_validation,amazon-ratings,ResNet,GNNM,acc,10,49.44308280944824,0.44296460902339796
mean_validation,amazon-ratings,ResNet,GNNM,acc,10,49.47084724903107,0.4920446233634551
split0_validation,amazon-ratings,ResNet,GNNM,acc,10,49.47084724903107,0.4920446233634551
per_split_validation,amazon-ratings,TAG,GNNM,acc,10,53.826555609703064,0.37497977555415596
mean_validation,amazon-ratings,TAG,GNNM,acc,10,53.76939415931702,0.3665802693553214
split0_validation,amazon-ratings,TAG,GNNM,acc,10,53.76939415931702,0.3665802693553214
per_split_validation,minesweeper,GCN,BASE,roc_auc,10,89.64261,0.534329174666702
mean_validation,minesweeper,GCN,BASE,roc_auc,10,89.54296,0.4719460736143462
split0_validation,minesweeper,GCN,BASE,roc_auc,10,89.54296,0.4719460736143462
per_split_validation,minesweeper,SAGE,BASE,roc_auc,10,93.72421999999997,0.539842887884984
mean_validation,minesweeper,SAGE,BASE,roc_auc,10,93.72421999999997,0.539842887884984
split0_validation,minesweeper,SAGE,BASE,roc_auc,10,93.72421999999997,0.539842887884984
per_split_validation,minesweeper,GAT,BASE,roc_auc,10,92.35507000000001,0.4939483820198212
mean_validation,minesweeper,GAT,BASE,roc_auc,10,92.24847,0.5558147336118383
split0_validation,minesweeper,GAT,BASE,roc_auc,10,92.24847,0.5558147336118383
per_split_validation,minesweeper,GAT-sep,BASE,roc_auc,10,93.39072000000002,0.47879470506679334
mean_validation,minesweeper,GAT-sep,BASE,roc_auc,10,93.39072000000002,0.47879470506679334
split0_validation,minesweeper,GAT-sep,BASE,roc_auc,10,93.39072000000002,0.47879470506679334
per_split_validation,minesweeper,GT,BASE,roc_auc,10,92.30418999999999,0.5208429004027993
mean_validation,minesweeper,GT,BASE,roc_auc,10,92.26518999999999,0.5162007234593933
split0_validation,minesweeper,GT,BASE,roc_auc,10,92.26518999999999,0.5162007234593933
per_split_validation,minesweeper,GT-sep,BASE,roc_auc,10,91.99578000000001,0.6014839412652687
mean_validation,minesweeper,GT-sep,BASE,roc_auc,10,92.0297,0.5274672406889331
split0_validation,minesweeper,GT-sep,BASE,roc_auc,10,92.0297,0.5274672406889331
per_split_validation,minesweeper,ResNet,BASE,roc_auc,10,50.68935999999999,1.1862923650601458
mean_validation,minesweeper,ResNet,BASE,roc_auc,10,50.91648,1.2418484676481254
split0_validation,minesweeper,ResNet,BASE,roc_auc,10,50.56643999999999,1.122765753129297
per_split_validation,minesweeper,TAG,BASE,roc_auc,10,94.00252,0.545148738969469
mean_validation,minesweeper,TAG,BASE,roc_auc,10,94.01915000000001,0.5353264242497299
split0_validation,minesweeper,TAG,BASE,roc_auc,10,94.01915000000001,0.5353264242497299
per_split_validation,minesweeper,GCN,ENS,roc_auc,10,89.90301000000001,0.5450450998770627
mean_validation,minesweeper,GCN,ENS,roc_auc,10,89.93519,0.5974811653098344
split0_validation,minesweeper,GCN,ENS,roc_auc,10,89.57748000000001,0.4519564532120307
per_split_validation,minesweeper,SAGE,ENS,roc_auc,10,93.87379999999999,0.4431264198848895
mean_validation,minesweeper,SAGE,ENS,roc_auc,10,93.89203,0.45975703159386283
split0_validation,minesweeper,SAGE,ENS,roc_auc,10,93.89203,0.45975703159386283
per_split_validation,minesweeper,GAT,ENS,roc_auc,10,92.76837,0.5826079900756581
mean_validation,minesweeper,GAT,ENS,roc_auc,10,92.75678,0.5880081798750734
split0_validation,minesweeper,GAT,ENS,roc_auc,10,92.55158,0.5102498638902319
per_split_validation,minesweeper,GAT-sep,ENS,roc_auc,10,93.70985,0.41370100132825843
mean_validation,minesweeper,GAT-sep,ENS,roc_auc,10,93.70985,0.41370100132825843
split0_validation,minesweeper,GAT-sep,ENS,roc_auc,10,93.70985,0.41370100132825843
per_split_validation,minesweeper,GT,ENS,roc_auc,10,92.5909,0.5452875498303638
mean_validation,minesweeper,GT,ENS,roc_auc,10,92.5909,0.5452875498303638
split0_validation,minesweeper,GT,ENS,roc_auc,10,92.5909,0.5452875498303638
per_split_validation,minesweeper,GT-sep,ENS,roc_auc,10,92.48111,0.5012756256791286
mean_validation,minesweeper,GT-sep,ENS,roc_auc,10,92.48111,0.5012756256791286
split0_validation,minesweeper,GT-sep,ENS,roc_auc,10,92.48111,0.5012756256791286
per_split_validation,minesweeper,ResNet,ENS,roc_auc,10,50.953570000000006,1.0780720676745135
mean_validation,minesweeper,ResNet,ENS,roc_auc,10,51.088370000000005,1.1947682148015133
split0_validation,minesweeper,ResNet,ENS,roc_auc,10,51.218889999999995,1.251443659898439
per_split_validation,minesweeper,TAG,ENS,roc_auc,10,94.14,0.5414744426101719
mean_validation,minesweeper,TAG,ENS,roc_auc,10,94.14273,0.5343110012904444
split0_validation,minesweeper,TAG,ENS,roc_auc,10,94.14273,0.5343110012904444
per_split_validation,minesweeper,GCN,GNNM,roc_auc,10,88.77121,0.620208312504761
mean_validation,minesweeper,GCN,GNNM,roc_auc,10,88.73234,0.6540176804949563
split0_validation,minesweeper,GCN,GNNM,roc_auc,10,88.73234,0.6540176804949563
per_split_validation,minesweeper,SAGE,GNNM,roc_auc,10,94.00938,0.4668572175729957
mean_validation,minesweeper,SAGE,GNNM,roc_auc,10,94.00938,0.4668572175729957
split0_validation,minesweeper,SAGE,GNNM,roc_auc,10,94.00938,0.4668572175729957
per_split_validation,minesweeper,GAT,GNNM,roc_auc,10,91.10595,0.7396592178158778
mean_validation,minesweeper,GAT,GNNM,roc_auc,10,91.04824,0.7279107709053358
split0_validation,minesweeper,GAT,GNNM,roc_auc,10,90.71244,0.6155000604386653
per_split_validation,minesweeper,GAT-sep,GNNM,roc_auc,10,93.70114,0.45937881361682376
mean_validation,minesweeper,GAT-sep,GNNM,roc_auc,10,93.70114,0.45937881361682376
split0_validation,minesweeper,GAT-sep,GNNM,roc_auc,10,93.70114,0.45937881361682376
per_split_validation,minesweeper,GT,GNNM,roc_auc,10,92.82912,0.4408293724333721
mean_validation,minesweeper,GT,GNNM,roc_auc,10,92.82912,0.4408293724333721
split0_validation,minesweeper,GT,GNNM,roc_auc,10,92.82912,0.4408293724333721
per_split_validation,minesweeper,GT-sep,GNNM,roc_auc,10,92.50468,0.2772753245422309
mean_validation,minesweeper,GT-sep,GNNM,roc_auc,10,92.50468,0.2772753245422309
split0_validation,minesweeper,GT-sep,GNNM,roc_auc,10,92.50468,0.2772753245422309
per_split_validation,minesweeper,ResNet,GNNM,roc_auc,10,50.67441,1.17834396968797
mean_validation,minesweeper,ResNet,GNNM,roc_auc,10,50.430589999999995,1.4161795055359356
split0_validation,minesweeper,ResNet,GNNM,roc_auc,10,50.76594,1.4846385571579372
per_split_validation,minesweeper,TAG,GNNM,roc_auc,10,94.11121,0.4606631164962076
mean_validation,minesweeper,TAG,GNNM,roc_auc,10,94.09714000000001,0.4651441135820154
split0_validation,minesweeper,TAG,GNNM,roc_auc,10,94.09714000000001,0.4651441135820154
per_split_validation,questions,GCN,BASE,roc_auc,10,76.32860781004321,0.9250055668015723
mean_validation,questions,GCN,BASE,roc_auc,10,76.29893167770699,0.9344620788954878
split0_validation,questions,GCN,BASE,roc_auc,10,76.36521175962633,0.8370973796177047
per_split_validation,questions,SAGE,BASE,roc_auc,10,73.66323258117473,0.8562499362329757
mean_validation,questions,SAGE,BASE,roc_auc,10,73.70921176886188,0.9032972309206287
split0_validation,questions,SAGE,BASE,roc_auc,10,73.70921176886188,0.9032972309206287
per_split_validation,questions,GAT,BASE,roc_auc,10,77.16894015132449,0.6731255971662495
mean_validation,questions,GAT,BASE,roc_auc,10,77.11845978725911,0.8505557699499628
split0_validation,questions,GAT,BASE,roc_auc,10,77.05872078391353,0.6847915507764755
per_split_validation,questions,GAT-sep,BASE,roc_auc,10,77.57278537273528,0.6322827752680552
mean_validation,questions,GAT-sep,BASE,roc_auc,10,77.51922841594148,0.6739065836525813
split0_validation,questions,GAT-sep,BASE,roc_auc,10,77.30638130355175,0.751284389378279
per_split_validation,questions,GT,BASE,roc_auc,10,77.78199714159715,0.750438055653028
mean_validation,questions,GT,BASE,roc_auc,10,77.68005859956733,0.7434896398884657
split0_validation,questions,GT,BASE,roc_auc,10,77.68005859956733,0.7434896398884657
per_split_validation,questions,GT-sep,BASE,roc_auc,10,77.2659826971963,0.7231399749985745
mean_validation,questions,GT-sep,BASE,roc_auc,10,77.07093364487922,0.8133530017385942
