dataset,model,variant,split,n_test,m,mean_member_acc,logit_ensemble_acc,mean_probability_acc,logit_vs_probability_decisions,ensemble_gain_vs_mean_member_pp,mean_member_ce_nats,pooled_ce_nats,mean_ce_gap_nats,mean_reverse_kl_nats,ce_kl_identity_max_abs_nats,double_fault,pool_member_rescue_pairs,pool_member_harm_pairs,pool_net_correct_pairs,pool_gain_from_pairs_pp,k0_ensemble_rescues,pool_correct_with_some_member_wrong_nodes,pool_wrong_with_some_member_correct_nodes,all_members_correct_ensemble_harms
roman-empire,SAGE,input_only,4,5666,4,0.8835598305683021,0.8905753618072715,0.8895164136957289,42,0.7015531238969364,0.8181109428405762,0.7301115393638611,0.0879993885755539,0.0879993885755539,2.561137080192566e-06,0.09118719849394047,436,277,159,0.701553123896929,0,317,204,0
roman-empire,SAGE,output_only,4,5666,4,0.846099541122485,0.8459230497705612,0.8459230497705612,0,-0.017649135192376875,1.213146686553955,1.213146448135376,3.7313390066628926e-07,3.723305610492389e-07,3.814697265625e-06,0.15375338275091188,0,4,-4,-0.017649135192375574,0,0,3,0
roman-empire,SAGE,base,4,5666,1,0.8545711260148253,0.8545711260148253,0.8545711260148253,0,0.0,0.9602686762809753,0.9602686762809753,0.0,0.0,0.0,nan,0,0,0,0.0,0,0,0,0
roman-empire,SAGE,gnnm_m1,4,5666,1,0.8616307800917755,0.8616307800917755,0.8616307800917755,0,0.0,1.3053168058395386,1.3053168058395386,0.0,0.0,0.0,nan,0,0,0,0.0,0,0,0,0
roman-empire,SAGE,gnnm,4,5666,4,0.8857218496293682,0.891634309918814,0.8898693963995764,34,0.5912460289445809,0.8165119290351868,0.7312527894973755,0.0852590799331665,0.0852590799331665,3.0992086976766586e-06,0.08945170020002352,409,275,134,0.5912460289445817,0,307,205,0
roman-empire,SAGE,untied_backbone,0,5666,4,0.8505118249205789,0.8563360395340628,0.8582774444052241,75,0.5824214613483925,1.2476283311843872,1.1200459003448486,0.12758241593837738,0.12758241593837738,5.245208740234375e-06,0.11895517119661136,499,367,132,0.5824214613483939,0,362,268,0
roman-empire,SAGE,untied_backbone,1,5666,4,0.8616749029297565,0.8729262266148958,0.8731027179668196,60,1.125132368513937,1.125303030014038,0.9959676861763,0.12933529913425446,0.12933529913425446,3.814697265625e-06,0.10807153782797975,561,306,255,1.1251323685139427,0,402,221,0
roman-empire,SAGE,untied_backbone,2,5666,4,0.8585863042710907,0.8667490292975644,0.8655135898340981,71,0.8162725026473638,1.2090598344802856,1.0749622583389282,0.1340976059436798,0.1340976059436798,3.814689989667386e-06,0.11063066243087423,528,343,185,0.8162725026473703,1,377,260,0
roman-empire,SAGE,untied_backbone,3,5666,4,0.8605277091422521,0.8693963995764208,0.8704553476879633,76,0.8868690434168713,1.193122148513794,1.0538129806518555,0.13930906355381012,0.1393090784549713,4.291538061806932e-06,0.10904224026356042,529,328,201,0.8868690434168726,0,391,242,0
roman-empire,SAGE,untied_backbone,4,5666,4,0.8548358630427109,0.862689728203318,0.8632192022590893,57,0.7853865160607154,1.2098342180252075,1.0803768634796143,0.12945760786533356,0.12945760786533356,3.814697265625e-06,0.11516060713025061,515,337,178,0.7853865160607131,0,370,247,0
roman-empire,SAGE,freeze_output_factors,0,5666,4,0.8831627250264737,0.8925167666784327,0.8905753618072715,47,0.9354041651958966,0.8196197152137756,0.7391719818115234,0.0804477110505104,0.0804477110505104,2.860862878151238e-06,0.09321684904106364,446,234,212,0.9354041651959054,1,323,168,0
roman-empire,SAGE,freeze_output_factors,1,5666,4,0.8918549241087187,0.898870455347688,0.8992234380515355,43,0.7015531238969253,0.7325676083564758,0.655735194683075,0.07683231681585312,0.07683231681585312,2.8609647415578365e-06,0.0835098246852571,420,261,159,0.701553123896929,0,319,192,0
roman-empire,SAGE,freeze_output_factors,2,5666,4,0.8903547476173668,0.8972820331803741,0.8962230850688316,49,0.6927285563007368,0.8278474807739258,0.7409959435462952,0.08685167133808136,0.08685167133808136,3.814697265625e-06,0.08586304271090717,424,267,157,0.6927285563007413,0,292,194,0
roman-empire,SAGE,freeze_output_factors,3,5666,4,0.8890751853159196,0.8939286974938228,0.8937522061418991,36,0.48535121779031964,0.8038986325263977,0.730668842792511,0.07322970032691956,0.07322970032691956,3.3369287848472595e-06,0.08848099776444289,369,259,110,0.48535121779032825,1,273,194,0
roman-empire,SAGE,freeze_output_factors,4,5666,4,0.8857659724673491,0.891634309918814,0.8898693963995764,38,0.5868337451464867,0.8123998641967773,0.7275305986404419,0.08486924320459366,0.08486923575401306,3.814697265625e-06,0.08956936110130603,406,273,133,0.5868337451464878,0,305,204,0
roman-empire,SAGE,ens_pooled,0,5666,4,0.8623808683374514,0.8716907871514296,0.8708083303918108,55,0.9309918813978135,1.0842167139053345,0.9536283612251282,0.13058829307556152,0.13058829307556152,2.3953616619110107e-06,0.10915990116484292,508,297,211,0.9309918813978115,0,364,225,0
roman-empire,SAGE,ens_pooled,1,5666,4,0.8711613130956584,0.8792799152841511,0.8791034239322273,56,0.8118602188492696,0.9762616753578186,0.8577796220779419,0.1184820607304573,0.11848204582929611,2.622600959512056e-06,0.10318861042475586,457,273,184,0.8118602188492764,0,330,201,0
roman-empire,SAGE,ens_pooled,2,5666,4,0.8661313095658313,0.8738086833745147,0.8746911401341334,64,0.7677373808683385,1.0706822872161865,0.926413357257843,0.1442689299583435,0.1442689299583435,2.384185791015625e-06,0.10418872808565711,501,327,174,0.7677373808683374,0,374,244,0
roman-empire,SAGE,ens_pooled,3,5666,4,0.8675432403812213,0.876456053653371,0.8771620190610661,57,0.8912813272149656,1.0443997383117676,0.9045095443725586,0.13989022374153137,0.13989022374153137,1.9818544387817383e-06,0.10292387339687022,525,323,202,0.8912813272149664,0,373,233,0
roman-empire,SAGE,ens_pooled,4,5666,4,0.8671902576773738,0.8745146487822096,0.8734557006706671,47,0.7324391104835848,1.0425611734390259,0.9121623635292053,0.1303989440202713,0.1303989589214325,2.384185791015625e-06,0.1044828803388634,473,307,166,0.7324391104835863,0,353,230,0
