dataset,model,num_layers,hidden_dim,lr,split,num_model_seeds,best_steps,individual_val_metrics,individual_val_accs,train_metric_name,train_metric,train_acc,train_loss,train_roc_auc,train_f1_macro,train_f1_weighted,train_prec_macro,train_rec_macro,val_metric_name,val_metric,val_acc,val_loss,val_roc_auc,val_f1_macro,val_f1_weighted,val_prec_macro,val_rec_macro,test_metric_name,test_metric,test_acc,test_loss,test_roc_auc,test_f1_macro,test_f1_weighted,test_prec_macro,test_rec_macro
amazon-ratings,ResNet,3,384,6e-05,8,4,"[1090, 1710, 2930, 1320]","[0.4746, 0.4784, 0.4839, 0.4797]","[0.4746, 0.4784, 0.4839, 0.4797]",acc,0.9933856129646301,0.9933856129646301,0.016940802335739136,,0.9919622035466567,0.9933880091298859,0.9897362095560339,0.994241400470008,acc,0.49158909916877747,0.49158909916877747,2.8299081325531006,,0.4310084914254116,0.4869966734144668,0.451149551691716,0.41924555380456896,acc,0.4891393184661865,0.4891393184661865,2.835226058959961,,0.42846080884403637,0.4841862104123323,0.45412327573854566,0.4144604099787599
amazon-ratings,ResNet,3,384,0.0001,8,4,"[960, 1160, 2190, 920]","[0.4731, 0.4806, 0.4857, 0.4771]","[0.4731, 0.4806, 0.4857, 0.4771]",acc,0.993630588054657,0.993630588054657,0.01437447126954794,,0.992135261385633,0.993633800810438,0.9898714090039092,0.9944527424918466,acc,0.49224236607551575,0.49224236607551575,3.016875982284546,,0.43076181271859004,0.48769488905501573,0.44908710685872333,0.4200913790696882,acc,0.48799607157707214,0.48799607157707214,3.030932664871216,,0.42770149658817463,0.48300660017394226,0.45224490651288374,0.41431935757706606
amazon-ratings,ResNet,3,384,1e-05,8,4,"[4830, 470, 480, 360]","[0.4668, 0.3902, 0.3926, 0.388]","[0.4668, 0.3902, 0.3926, 0.388]",acc,0.8269639015197754,0.8269639015197754,0.6583709716796875,,0.7448662531613992,0.8188866157803754,0.900210727260055,0.696345428002074,acc,0.46921443939208984,0.46921443939208984,1.3098125457763672,,0.3487856550917769,0.44500282977084216,0.5225313449162001,0.34007446897079935,acc,0.46709129214286804,0.46709129214286804,1.3168525695800781,,0.3526551694353165,0.44177692256880846,0.5417122780728555,0.3409327471097482
amazon-ratings,ResNet,3,512,3e-05,8,4,"[2230, 1740, 1560, 4090]","[0.4777, 0.4754, 0.4748, 0.4841]","[0.4777, 0.4754, 0.4748, 0.4841]",acc,0.9934672713279724,0.9934672713279724,0.015927346423268318,,0.9918627259736228,0.9934706771971226,0.9897724577875235,0.9939978278983055,acc,0.4893026351928711,0.4893026351928711,3.136284589767456,,0.4320602285492495,0.4851928126588757,0.45154979000328266,0.41991662584815276,acc,0.49109911918640137,0.49109911918640137,3.1011757850646973,,0.43430501230502383,0.48657587170795674,0.4593358013324713,0.4202755083107655
amazon-ratings,ResNet,3,512,6e-05,8,4,"[2460, 1660, 1470, 1990]","[0.4831, 0.4764, 0.4808, 0.4852]","[0.4831, 0.4764, 0.4808, 0.4852]",acc,0.9943655133247375,0.9943655133247375,0.011759530752897263,,0.9929709069425906,0.9943678300786186,0.9910587421891599,0.9949209834820515,acc,0.48897600173950195,0.48897600173950195,3.6652462482452393,,0.43124192799484734,0.4850299059248337,0.44936765480125807,0.41982692739626826,acc,0.48946595191955566,0.48946595191955566,3.638864517211914,,0.43367762723776193,0.4852603717173095,0.45631654160444085,0.4204834707371631
amazon-ratings,ResNet,3,512,0.0001,8,4,"[2330, 980, 2020, 1470]","[0.4888, 0.4754, 0.4851, 0.4826]","[0.4888, 0.4754, 0.4851, 0.4826]",acc,0.9944471716880798,0.9944471716880798,0.010477220639586449,,0.9931248582019677,0.9944495729912003,0.9910728568487823,0.9952168365077391,acc,0.4924056828022003,0.4924056828022003,3.8602774143218994,,0.43091907107505945,0.48805841986105797,0.4480022929261979,0.42013962147639183,acc,0.4904458522796631,0.4904458522796631,3.855342388153076,,0.4330982951336678,0.48579499172882934,0.456939824516982,0.4194497138830015
amazon-ratings,ResNet,3,512,1e-05,8,4,"[250, 410, 310, 250]","[0.3911, 0.3918, 0.3928, 0.3879]","[0.3911, 0.3918, 0.3928, 0.3879]",acc,0.4116446077823639,0.4116446077823639,1.3648849725723267,,0.20323588601880932,0.32371851289549924,0.270828298459109,0.2530839032527511,acc,0.3927813172340393,0.3927813172340393,1.3936138153076172,,0.19236518630517976,0.30743162228902515,0.2310561976658046,0.24119863224749877,acc,0.3864118754863739,0.3864118754863739,1.39736807346344,,0.18828847668285792,0.3020726478248499,0.22224086091828835,0.23595525863302313
amazon-ratings,ResNet,4,256,3e-05,8,4,"[260, 4990, 2550, 200]","[0.3954, 0.4771, 0.4748, 0.3916]","[0.3954, 0.4771, 0.4748, 0.3916]",acc,0.97476726770401,0.97476726770401,0.1932479441165924,,0.9704838220967396,0.9747518411788263,0.9801347393753993,0.9618084609533865,acc,0.48962926864624023,0.48962926864624023,1.500999093055725,,0.4256689585751586,0.4804577442193489,0.5007818699058713,0.4022046424690918,acc,0.4850563406944275,0.4850563406944275,1.5079611539840698,,0.42768217609649994,0.4763248926601949,0.5323874714545436,0.39956662242430296
amazon-ratings,ResNet,4,256,6e-05,8,4,"[1690, 2670, 1400, 2650]","[0.4695, 0.4771, 0.4753, 0.4735]","[0.4695, 0.4771, 0.4753, 0.4735]",acc,0.9893026351928711,0.9893026351928711,0.03976816311478615,,0.9881022902121135,0.9893051835545386,0.9856903479939495,0.9905950502037781,acc,0.4909358024597168,0.4909358024597168,2.2631287574768066,,0.4304951642135303,0.48616405895417947,0.45400729123152705,0.4176683684211879,acc,0.4907724857330322,0.4907724857330322,2.2477927207946777,,0.43505899265727166,0.48578439483845104,0.46914713658176527,0.4185815347976625
amazon-ratings,ResNet,4,256,0.0001,8,4,"[1990, 1800, 1290, 3200]","[0.4797, 0.4787, 0.4775, 0.48]","[0.4797, 0.4787, 0.4775, 0.48]",acc,0.9932222962379456,0.9932222962379456,0.018169915303587914,,0.9912450168126782,0.9932283431323784,0.9885121209583657,0.994065959618472,acc,0.49338558316230774,0.49338558316230774,2.554675579071045,,0.4303464324094903,0.48844294299941116,0.45264538639207147,0.4176987916460032,acc,0.48587292432785034,0.48587292432785034,2.5720572471618652,,0.4294547822090477,0.48118558817541435,0.4572495933155489,0.4145130000082092
amazon-ratings,ResNet,4,256,1e-05,8,4,"[720, 1500, 1050, 550]","[0.3962, 0.3938, 0.3907, 0.3921]","[0.3962, 0.3938, 0.3907, 0.3921]",acc,0.4213620722293854,0.4213620722293854,1.3381403684616089,,0.22088893709145868,0.34393550296024195,0.4771876356581271,0.264387116032215,acc,0.39359790086746216,0.39359790086746216,1.3824301958084106,,0.20373476096844384,0.3195853241371633,0.23912073306468837,0.24633264648759864,acc,0.3878817558288574,0.3878817558288574,1.3875136375427246,,0.19855499309088936,0.3134925830541499,0.22694218073489356,0.24131528061760998
amazon-ratings,ResNet,4,384,3e-05,8,4,"[2930, 2250, 2940, 2270]","[0.4707, 0.4746, 0.4792, 0.465]","[0.4707, 0.4746, 0.4792, 0.465]",acc,0.9916707277297974,0.9916707277297974,0.0254773311316967,,0.9898130259325739,0.9916780639873086,0.9866932994805833,0.9930448127727249,acc,0.4844030737876892,0.4844030737876892,2.6514787673950195,,0.42967940743806843,0.4802377118342519,0.45055129523886295,0.41707751388798125,acc,0.4871794879436493,0.4871794879436493,2.6355621814727783,,0.42806886697392316,0.4826311960520508,0.45035562389701306,0.41526983498580083
amazon-ratings,ResNet,4,384,6e-05,8,4,"[1560, 2310, 1690, 1690]","[0.4712, 0.4762, 0.4855, 0.4713]","[0.4712, 0.4762, 0.4855, 0.4713]",acc,0.9934672713279724,0.9934672713279724,0.015523901209235191,,0.9918845512933187,0.9934711369092986,0.9894718274415494,0.9943568434964101,acc,0.49289563298225403,0.49289563298225403,2.945650339126587,,0.4353903228734689,0.4887208830991139,0.4549004219616252,0.4234118416185644,acc,0.48472970724105835,0.48472970724105835,2.9445130825042725,,0.42488496060383857,0.48041014917778674,0.444281501907908,0.4132366770215229
amazon-ratings,ResNet,4,384,0.0001,8,4,"[1730, 750, 1070, 1690]","[0.4743, 0.4766, 0.4862, 0.4762]","[0.4743, 0.4766, 0.4862, 0.4762]",acc,0.9938755631446838,0.9938755631446838,0.013971434906125069,,0.9924773834155152,0.9938782603264728,0.990473359630692,0.9945253294470723,acc,0.4930589497089386,0.4930589497089386,2.988978147506714,,0.43438469108551525,0.48861110121985135,0.454666307703793,0.4219237671601378,acc,0.48587292432785034,0.48587292432785034,2.9997081756591797,,0.42817716388388166,0.4817533245680533,0.4491264886601517,0.4157217900234687
amazon-ratings,ResNet,4,384,1e-05,8,4,"[490, 450, 850, 530]","[0.3908, 0.39, 0.3916, 0.3928]","[0.3908, 0.39, 0.3916, 0.3928]",acc,0.413277804851532,0.413277804851532,1.3513844013214111,,0.2084285011828339,0.3295106713547231,0.2627138647532748,0.2566080245777901,acc,0.38608524203300476,0.38608524203300476,1.3874181509017944,,0.1932053583660382,0.3067140381631618,0.21386879302080128,0.23924236664626672,acc,0.3831455111503601,0.3831455111503601,1.393020510673523,,0.19032808808215188,0.303440776708529,0.21352438236062893,0.23610936267699834
amazon-ratings,ResNet,4,512,3e-05,8,4,"[2770, 2880, 2400, 1660]","[0.4823, 0.4821, 0.4826, 0.4798]","[0.4823, 0.4821, 0.4826, 0.4798]",acc,0.9933856129646301,0.9933856129646301,0.01604621857404709,,0.9913480126477598,0.9933922790691275,0.9885078987669141,0.9942769244249405,acc,0.4951820969581604,0.4951820969581604,3.169367790222168,,0.43426068971846643,0.4919105511628849,0.4488728378064299,0.42489530997455044,acc,0.48636287450790405,0.48636287450790405,3.16074538230896,,0.4291952652745266,0.4824778304732082,0.44633238546496834,0.4185691423989514
amazon-ratings,ResNet,4,512,6e-05,8,4,"[2280, 1620, 2030, 2310]","[0.4847, 0.4864, 0.4826, 0.4886]","[0.4847, 0.4864, 0.4826, 0.4886]",acc,0.9942838549613953,0.9942838549613953,0.011785600334405899,,0.992918736682802,0.9942863838414524,0.9909479472619104,0.9949286928136658,acc,0.4958353638648987,0.4958353638648987,3.65313982963562,,0.43403387660591,0.4920871608498305,0.4494501889149663,0.4239436418302579,acc,0.48685285449028015,0.48685285449028015,3.672149896621704,,0.43123629575754335,0.4825716026783415,0.453385413428388,0.4180429964051717
amazon-ratings,ResNet,4,512,0.0001,8,4,"[1050, 880, 1340, 870]","[0.4815, 0.4844, 0.4797, 0.4813]","[0.4815, 0.4844, 0.4797, 0.4813]",acc,0.9938755631446838,0.9938755631446838,0.01315557211637497,,0.9924866109857948,0.9938780979003827,0.990339456203596,0.9946806650069042,acc,0.4937122166156769,0.4937122166156769,3.3891828060150146,,0.43124296023872805,0.4899077324476837,0.44722055439811453,0.42115004227573116,acc,0.48570960760116577,0.48570960760116577,3.404177188873291,,0.428875680399476,0.48142134695605915,0.4496918250704615,0.416520406491545
amazon-ratings,ResNet,4,512,1e-05,8,4,"[3790, 400, 540, 210]","[0.4676, 0.3936, 0.3939, 0.389]","[0.4676, 0.3936, 0.3939, 0.389]",acc,0.8682835102081299,0.8682835102081299,0.555935263633728,,0.8227550447448528,0.8652457280365445,0.9207450119036634,0.7756656418670965,acc,0.47476726770401,0.47476726770401,1.337769627571106,,0.3798602163917969,0.45639229297304107,0.5194929875720616,0.3618661516978793,acc,0.47411400079727173,0.47411400079727173,1.3397773504257202,,0.3818110513482902,0.45532270664927593,0.5710408016428402,0.36124282438970934
amazon-ratings,ResNet,5,256,3e-05,8,4,"[320, 2710, 4800, 280]","[0.3934, 0.4702, 0.4728, 0.396]","[0.3934, 0.4702, 0.4728, 0.396]",acc,0.9766454100608826,0.9766454100608826,0.1826011836528778,,0.9745530597318559,0.9766699830724033,0.9797981777438199,0.9698185111548698,acc,0.48946595191955566,0.48946595191955566,1.5199682712554932,,0.42215497657820766,0.48173113334773915,0.47895757741497846,0.4024902106853026,acc,0.48897600173950195,0.48897600173950195,1.5291979312896729,,0.42827321317185174,0.48094210835728235,0.505439887378152,0.40399938271143354
amazon-ratings,ResNet,5,256,6e-05,8,4,"[2720, 2630, 2160, 3070]","[0.479, 0.4793, 0.4653, 0.4753]","[0.479, 0.4793, 0.4653, 0.4753]",acc,0.9920790195465088,0.9920790195465088,0.024063285440206528,,0.9908074326159518,0.9920803665422627,0.9888735773417754,0.9927798864227662,acc,0.4878327548503876,0.4878327548503876,2.467028856277466,,0.4273563456780285,0.48331761262927914,0.4512868937904792,0.4143618565380903,acc,0.4893026351928711,0.4893026351928711,2.4766085147857666,,0.43503039800754884,0.4847563740751332,0.46252275542454735,0.4200094251849598
amazon-ratings,ResNet,5,256,0.0001,8,4,"[1250, 3030, 2310, 3140]","[0.4766, 0.4836, 0.4722, 0.4769]","[0.4766, 0.4836, 0.4722, 0.4769]",acc,0.9935489296913147,0.9935489296913147,0.016231514513492584,,0.991705666153098,0.9935535042368455,0.9892207875136622,0.9942601205778396,acc,0.49289563298225403,0.49289563298225403,2.657289743423462,,0.4353277126671786,0.4886229853938586,0.45876028255947093,0.4219383685933038,acc,0.49109911918640137,0.49109911918640137,2.676743268966675,,0.431852043257956,0.48607797259609375,0.459949912031446,0.41682243416650805
amazon-ratings,ResNet,5,256,1e-05,8,4,"[830, 750, 800, 730]","[0.3936, 0.3885, 0.3931, 0.3959]","[0.3936, 0.3885, 0.3931, 0.3959]",acc,0.40870487689971924,0.40870487689971924,1.35666823387146,,0.20298944524121,0.3226128884218988,0.2557857410135929,0.25117299279786975,acc,0.39425116777420044,0.39425116777420044,1.3832080364227295,,0.19532380946503172,0.3108860890871287,0.23881102848178903,0.24228628409542297,acc,0.38690185546875,0.38690185546875,1.3892898559570312,,0.1889991083610107,0.3027726102866469,0.2276903417186192,0.2361931950498793
amazon-ratings,ResNet,5,384,3e-05,8,4,"[2420, 2560, 3280, 3380]","[0.4748, 0.4779, 0.4728, 0.4756]","[0.4748, 0.4779, 0.4728, 0.4756]",acc,0.9926506280899048,0.9926506280899048,0.02097272500395775,,0.9910585583063872,0.9926554539403211,0.9882760078410048,0.993915255299533,acc,0.4883227050304413,0.4883227050304413,2.7275798320770264,,0.4326379480768804,0.4846497169947424,0.44934960003009083,0.4219078365956859,acc,0.4904458522796631,0.4904458522796631,2.7298948764801025,,0.432840248157974,0.4862626641721465,0.45570546317230515,0.4196297869901743
