dataset,model,num_layers,hidden_dim,lr,split,num_model_seeds,best_steps,individual_val_metrics,individual_val_accs,train_metric_name,train_metric,train_acc,train_loss,train_roc_auc,train_f1_macro,train_f1_weighted,train_prec_macro,train_rec_macro,val_metric_name,val_metric,val_acc,val_loss,val_roc_auc,val_f1_macro,val_f1_weighted,val_prec_macro,val_rec_macro,test_metric_name,test_metric,test_acc,test_loss,test_roc_auc,test_f1_macro,test_f1_weighted,test_prec_macro,test_rec_macro
roman-empire,GAT,5,512,3e-05,8,4,"[3760, 3240, 1750, 2690]","[0.8245, 0.8261, 0.8192, 0.8247]","[0.8245, 0.8261, 0.8192, 0.8247]",acc,0.9999117851257324,0.9999117851257324,0.0006080319290049374,,0.9997930165294182,0.9999117878520074,0.9997416020671834,0.9998452491488704,acc,0.8349514603614807,0.8349514603614807,0.8416764736175537,,0.7967221920886809,0.8330971830871644,0.7963948207020045,0.8017645546536478,acc,0.8342745900154114,0.8342745900154114,0.8526186943054199,,0.791121594577992,0.8326282628355338,0.7928654889413629,0.7946343990096891
roman-empire,GAT,1,512,3e-05,9,4,"[1520, 1610, 1910, 1510]","[0.74, 0.7557, 0.7485, 0.7582]","[0.74, 0.7557, 0.7485, 0.7582]",acc,0.9905568957328796,0.9905568957328796,0.043744102120399475,,0.9893572196451098,0.9905237588987484,0.9912127877728998,0.9877813744117174,acc,0.7632833123207092,0.7632833123207092,0.9419438242912292,,0.7049495193196286,0.7609896432807143,0.736674197163984,0.6912121280345485,acc,0.7705612182617188,0.7705612182617188,0.9443432688713074,,0.7060510595855043,0.7652414801119284,0.7354044338498513,0.6960795231415311
roman-empire,GAT,2,512,3e-05,9,4,"[2120, 3250, 2120, 2200]","[0.794, 0.7838, 0.7922, 0.7891]","[0.794, 0.7838, 0.7922, 0.7891]",acc,0.9997352361679077,0.9997352361679077,0.00264616496860981,,0.9997369220066711,0.9997352188492876,0.9997184228025576,0.9997554992704897,acc,0.8030008673667908,0.8030008673667908,0.9265738725662231,,0.7586447091935326,0.8012590035678199,0.7589877832883538,0.7658844273286586,acc,0.8079773783683777,0.8079773783683777,0.9236522316932678,,0.7584141257160164,0.8055446175866826,0.7570532864434254,0.7689117998901804
roman-empire,GAT,3,512,3e-05,9,4,"[1670, 2020, 3880, 2960]","[0.8141, 0.8085, 0.8173, 0.8203]","[0.8141, 0.8085, 0.8173, 0.8203]",acc,0.9999117851257324,0.9999117851257324,0.0010800566524267197,,0.9998999794901763,0.9999117025490416,0.9999553770638108,0.999844816883923,acc,0.8317740559577942,0.8317740559577942,0.845234751701355,,0.7929999360490105,0.8293639531663833,0.7944897926314797,0.7972063921548757,acc,0.8258029818534851,0.8258029818534851,0.8530163764953613,,0.7820801833659662,0.8228633356959045,0.7846768551181429,0.785672635283729
roman-empire,GAT,4,512,3e-05,9,4,"[2700, 2420, 1960, 3900]","[0.8173, 0.8237, 0.8222, 0.8254]","[0.8173, 0.8237, 0.8222, 0.8254]",acc,1.0,1.0,0.0007932828739285469,,1.0,1.0,1.0,1.0,acc,0.8358340263366699,0.8358340263366699,0.8490077257156372,,0.7976132045236078,0.8341628055608882,0.7979640683020345,0.8001652772507575,acc,0.8335686326026917,0.8335686326026917,0.8581923246383667,,0.7893634042857846,0.830769094229915,0.7896352464809806,0.7945431447539375
roman-empire,GAT,5,512,3e-05,9,4,"[4570, 4350, 4490, 3900]","[0.8307, 0.8309, 0.8364, 0.8316]","[0.8307, 0.8309, 0.8364, 0.8316]",acc,1.0,1.0,4.4285225158091635e-05,,1.0,1.0,1.0,1.0,acc,0.8423653841018677,0.8423653841018677,0.9773618578910828,,0.8068036799965602,0.8404827402543971,0.8047175701169057,0.8115291297876097,acc,0.837274968624115,0.837274968624115,0.9870704412460327,,0.7945365850301962,0.8346510210773056,0.7918913267553043,0.8013300352412567
roman-empire,GAT-sep,1,512,3e-05,0,4,"[970, 1340, 1780, 1850]","[0.8055, 0.8071, 0.8062, 0.8069]","[0.8055, 0.8071, 0.8062, 0.8069]",acc,0.9998235106468201,0.9998235106468201,0.0014209151268005371,,0.9998005544139102,0.9998236679031057,0.9996913580246913,0.9999106823865667,acc,0.813768744468689,0.813768744468689,0.9112980365753174,,0.7642208159304824,0.8089332130743971,0.7745789348020519,0.7601401772400591,acc,0.8069184422492981,0.8069184422492981,0.9348312616348267,,0.7500198283713106,0.803546490347296,0.7560652725734495,0.748779842935854
roman-empire,GAT-sep,2,512,3e-05,0,4,"[1670, 1280, 1840, 1510]","[0.8588, 0.8538, 0.8523, 0.8623]","[0.8588, 0.8538, 0.8523, 0.8623]",acc,0.9999117851257324,0.9999117851257324,0.0002264002978336066,,0.9999001782771109,0.9999117903366547,0.9998452491488704,0.9999553411932833,acc,0.8635480999946594,0.8635480999946594,0.75937819480896,,0.8339711681257919,0.8611480704382173,0.8361600808529714,0.8388383335176697,acc,0.8595128655433655,0.8595128655433655,0.8023959398269653,,0.8244191730568695,0.8579674294509791,0.8208025863423776,0.8330172360468443
roman-empire,GAT-sep,3,512,3e-05,0,4,"[1710, 3390, 3430, 3130]","[0.8819, 0.8812, 0.8761, 0.8826]","[0.8819, 0.8812, 0.8761, 0.8826]",acc,1.0,1.0,1.0856024346139748e-05,,1.0,1.0,1.0,1.0,acc,0.888614296913147,0.888614296913147,0.7743797302246094,,0.8644984504638822,0.886819282454463,0.8637677073691395,0.8695325724588039,acc,0.8813977837562561,0.8813977837562561,0.8071436285972595,,0.8488910727452661,0.8799917289341819,0.8439026873402098,0.8576161952382102
roman-empire,GAT-sep,4,512,3e-05,0,4,"[2740, 3900, 2070, 1290]","[0.8886, 0.8955, 0.8872, 0.8904]","[0.8886, 0.8955, 0.8872, 0.8904]",acc,1.0,1.0,2.5903320420184173e-05,,1.0,1.0,1.0,1.0,acc,0.8974403738975525,0.8974403738975525,0.6732286810874939,,0.8754408475930808,0.8959232625720169,0.8740599726719034,0.8798663004093348,acc,0.8921637535095215,0.8921637535095215,0.6991842985153198,,0.8614790460652784,0.8908341684811001,0.8574897558023142,0.8680964133142144
roman-empire,GAT-sep,5,512,3e-05,0,4,"[3150, 4130, 1610, 2620]","[0.8967, 0.899, 0.892, 0.8976]","[0.8967, 0.899, 0.892, 0.8976]",acc,1.0,1.0,1.521300964668626e-05,,1.0,1.0,1.0,1.0,acc,0.9016769528388977,0.9016769528388977,0.6790322661399841,,0.8824484060885279,0.9002981254880407,0.8780160851381014,0.8893003636121501,acc,0.8986939191818237,0.8986939191818237,0.6930299401283264,,0.8707154900368477,0.8973574024767339,0.8675930625381003,0.8763548449275026
roman-empire,GAT-sep,1,512,3e-05,1,4,"[1030, 950, 1160, 950]","[0.8095, 0.8097, 0.8051, 0.8094]","[0.8095, 0.8097, 0.8051, 0.8094]",acc,0.9986762404441833,0.9986762404441833,0.010810697451233864,,0.9983336459187195,0.9986761883396761,0.9985713143489002,0.9981030967222408,acc,0.8139452338218689,0.8139452338218689,0.7606086134910583,,0.7623338773293179,0.8106502303269263,0.7739429605802729,0.758713866244297,acc,0.8152135014533997,0.8152135014533997,0.7849264740943909,,0.76500316260139,0.8114033378547353,0.7785091356541839,0.758466279579132
roman-empire,GAT-sep,2,512,3e-05,1,4,"[1530, 1540, 1720, 2780]","[0.8611, 0.865, 0.8616, 0.8715]","[0.8611, 0.865, 0.8616, 0.8715]",acc,1.0,1.0,4.130793604417704e-05,,1.0,1.0,1.0,1.0,acc,0.8744924664497375,0.8744924664497375,0.7632737755775452,,0.8413814312389637,0.8734310871667358,0.8423414035858401,0.8463967653086715,acc,0.8642781376838684,0.8642781376838684,0.7532676458358765,,0.8336289134378124,0.8625327886648776,0.8389169700333128,0.8328506436112819
roman-empire,GAT-sep,3,512,3e-05,1,4,"[3750, 3820, 2130, 2250]","[0.8888, 0.8904, 0.8831, 0.8826]","[0.8888, 0.8904, 0.8831, 0.8826]",acc,1.0,1.0,7.211655884020729e-06,,1.0,1.0,1.0,1.0,acc,0.8962047696113586,0.8962047696113586,0.7415567636489868,,0.8686057269608269,0.8947985473201038,0.8698266793458302,0.8706902389822906,acc,0.8898693919181824,0.8898693919181824,0.7271407246589661,,0.863855747358754,0.88860823199002,0.8675311375271129,0.86323788103403
roman-empire,GAT-sep,4,512,3e-05,1,4,"[3470, 2540, 2090, 2280]","[0.8983, 0.8959, 0.8937, 0.8959]","[0.8983, 0.8959, 0.8937, 0.8959]",acc,1.0,1.0,1.296662048844155e-05,,1.0,1.0,1.0,1.0,acc,0.9000882506370544,0.9000882506370544,0.6717000007629395,,0.8741337744219468,0.8989894875528531,0.872442812809955,0.8784929292864695,acc,0.8988704085350037,0.8988704085350037,0.6507203578948975,,0.8767672176738698,0.8980741961759787,0.8780251804127417,0.8769051077617417
roman-empire,GAT-sep,5,512,3e-05,1,4,"[2200, 4160, 1330, 2030]","[0.9022, 0.9059, 0.8966, 0.901]","[0.9022, 0.9059, 0.8966, 0.901]",acc,1.0,1.0,2.37061467487365e-05,,1.0,1.0,1.0,1.0,acc,0.9048543572425842,0.9048543572425842,0.6207614541053772,,0.8803695958232568,0.903968687287239,0.8759171455824897,0.8868216432516406,acc,0.9032827019691467,0.9032827019691467,0.6007248759269714,,0.8816053544623558,0.9025901666770161,0.8828574153762339,0.88190961113446
roman-empire,GAT-sep,1,512,3e-05,2,4,"[840, 780, 740, 990]","[0.8005, 0.8025, 0.7959, 0.7961]","[0.8005, 0.8025, 0.7959, 0.7961]",acc,0.9904686212539673,0.9904686212539673,0.03870929405093193,,0.986631106177598,0.9904686896484192,0.9886452374259913,0.9848839885709696,acc,0.8058252334594727,0.8058252334594727,0.7540574073791504,,0.7490757189145342,0.8008856998618976,0.7659201834312582,0.7406477548965614,acc,0.8100953102111816,0.8100953102111816,0.7162586450576782,,0.7601731072175179,0.8064220670230847,0.7814571404125349,0.7495681549035266
