dataset,model,variant,k,num_layers,hidden_dim,lr,num_params,mean_step_ms,std_step_ms,peak_mem_mb
tolokers,GAT-sep,TABM_k4,4,2,512,3e-05,2642480,719.041,1.441,19082.7
tolokers,GAT-sep,TABM_k8,8,2,512,3e-05,2648672,1435.948,1.633,19082.8
tolokers,GAT-sep,BASE,1,3,512,3e-05,3951617,268.165,0.722,25471.6
tolokers,GAT-sep,ENS_k4,4,3,512,3e-05,15806468,1072.322,1.469,25653.8
tolokers,GAT-sep,TABM_k2,2,3,512,3e-05,3954200,537.684,1.105,25507.2
tolokers,GAT-sep,TABM_k4,4,3,512,3e-05,3957296,1075.072,1.707,25507.2
tolokers,GAT-sep,TABM_k8,8,3,512,3e-05,3963488,2148.951,2.751,25507.3
tolokers,GAT-sep,BASE,1,4,512,3e-05,5266433,357.365,0.874,31891.2
tolokers,GAT-sep,ENS_k4,4,4,512,3e-05,21065732,1428.524,1.78,32134.6
tolokers,GAT-sep,TABM_k2,2,4,512,3e-05,5269016,715.247,1.162,31932.0
tolokers,GAT-sep,TABM_k4,4,4,512,3e-05,5272112,1430.221,1.856,31932.1
tolokers,GAT-sep,TABM_k8,8,4,512,3e-05,5278304,2861.57,3.008,31932.2
tolokers,GAT-sep,BASE,1,5,512,3e-05,6581249,446.159,0.881,38311.2
tolokers,GAT-sep,ENS_k4,4,5,512,3e-05,26324996,1784.401,1.968,38615.2
tolokers,GAT-sep,TABM_k2,2,5,512,3e-05,6583832,892.876,1.354,38356.2
tolokers,GAT-sep,TABM_k4,4,5,512,3e-05,6586928,1786.602,1.948,38356.3
tolokers,GAT-sep,TABM_k8,8,5,512,3e-05,6593120,3571.921,2.927,38356.4
tolokers,GT,BASE,1,1,512,3e-05,1847809,84.015,0.395,12616.7
tolokers,GT,ENS_k4,4,1,512,3e-05,7391236,335.741,0.835,12701.3
tolokers,GT,TABM_k2,2,1,512,3e-05,1850392,168.826,0.524,12643.2
tolokers,GT,TABM_k4,4,1,512,3e-05,1853488,337.892,0.874,12643.2
tolokers,GT,TABM_k8,8,1,512,3e-05,1859680,674.856,1.393,12643.3
tolokers,GT,BASE,1,2,512,3e-05,3688449,166.6,0.564,19071.3
tolokers,GT,ENS_k4,4,2,512,3e-05,14753796,665.776,1.114,19240.2
tolokers,GT,TABM_k2,2,2,512,3e-05,3691032,334.007,0.913,19104.8
tolokers,GT,TABM_k4,4,2,512,3e-05,3694128,667.575,1.162,19104.9
tolokers,GT,TABM_k8,8,2,512,3e-05,3700320,1335.479,2.121,19105.0
tolokers,GT,BASE,1,3,512,3e-05,5529089,249.132,0.688,25525.6
tolokers,GT,ENS_k4,4,3,512,3e-05,22116356,996.147,1.46,25778.7
tolokers,GT,TABM_k2,2,3,512,3e-05,5531672,499.289,0.852,25566.1
tolokers,GT,TABM_k4,4,3,512,3e-05,5534768,998.072,1.683,25566.2
tolokers,GT,TABM_k8,8,3,512,3e-05,5540960,1996.304,2.44,25566.3
tolokers,GT,BASE,1,4,512,3e-05,7369729,331.908,0.839,31979.9
tolokers,GT,ENS_k4,4,4,512,3e-05,29478916,1326.425,1.994,32317.2
tolokers,GT,TABM_k2,2,4,512,3e-05,7372312,664.448,1.29,32027.4
tolokers,GT,TABM_k4,4,4,512,3e-05,7375408,1328.523,1.846,32027.5
tolokers,GT,TABM_k8,8,4,512,3e-05,7381600,2656.732,2.929,32027.5
tolokers,GT,BASE,1,5,512,3e-05,9210369,414.702,0.985,38434.1
tolokers,GT,ENS_k4,4,5,512,3e-05,36841476,1656.533,1.963,38855.7
tolokers,GT,TABM_k2,2,5,512,3e-05,9212952,829.212,1.216,38488.7
tolokers,GT,TABM_k4,4,5,512,3e-05,9216048,1658.245,2.109,38488.7
tolokers,GT,TABM_k8,8,5,512,3e-05,9222240,3315.639,3.181,38488.8
tolokers,GT-sep,BASE,1,1,512,3e-05,2109953,85.362,0.375,12620.8
tolokers,GT-sep,ENS_k4,4,1,512,3e-05,8439812,341.019,0.863,12717.6
tolokers,GT-sep,TABM_k2,2,1,512,3e-05,2112536,171.579,0.639,12647.3
tolokers,GT-sep,TABM_k4,4,1,512,3e-05,2115632,342.666,0.936,12647.3
tolokers,GT-sep,TABM_k8,8,1,512,3e-05,2121824,685.43,1.858,12647.4
tolokers,GT-sep,BASE,1,2,512,3e-05,4212737,169.264,0.573,19101.0
tolokers,GT-sep,ENS_k4,4,2,512,3e-05,16850948,676.14,1.253,19294.9
tolokers,GT-sep,TABM_k2,2,2,512,3e-05,4215320,339.17,0.943,19135.5
tolokers,GT-sep,TABM_k4,4,2,512,3e-05,4218416,678.308,1.466,19135.6
tolokers,GT-sep,TABM_k8,8,2,512,3e-05,4224608,1356.149,2.149,19135.7
tolokers,GT-sep,BASE,1,3,512,3e-05,6315521,253.125,0.665,25581.1
tolokers,GT-sep,ENS_k4,4,3,512,3e-05,25262084,1012.034,1.553,25872.4
tolokers,GT-sep,TABM_k2,2,3,512,3e-05,6318104,507.415,1.003,25623.8
tolokers,GT-sep,TABM_k4,4,3,512,3e-05,6321200,1013.494,1.705,25623.8
tolokers,GT-sep,TABM_k8,8,3,512,3e-05,6327392,2025.693,2.735,25623.9
tolokers,GT-sep,BASE,1,4,512,3e-05,8418305,337.063,0.833,32061.6
tolokers,GT-sep,ENS_k4,4,4,512,3e-05,33673220,1346.631,1.684,32450.0
tolokers,GT-sep,TABM_k2,2,4,512,3e-05,8420888,675.19,1.204,32112.2
