dataset,model,variant,k,num_layers,hidden_dim,lr,num_params,mean_step_ms,std_step_ms,peak_mem_mb
roman-empire,GT,BASE,1,5,512,3e-05,9367570,120.011,0.24,4923.1
roman-empire,GT,ENS_k4,4,5,512,3e-05,37470280,478.509,0.418,5352.0
roman-empire,GT,TABM_k2,2,5,512,3e-05,9370784,242.092,0.277,5023.4
roman-empire,GT,TABM_k4,4,5,512,3e-05,9374528,483.544,0.612,5023.4
roman-empire,GT,TABM_k8,8,5,512,3e-05,9382016,966.435,0.733,5023.6
roman-empire,GT-sep,BASE,1,1,512,3e-05,2267154,28.412,0.065,1359.2
roman-empire,GT-sep,ENS_k4,4,1,512,3e-05,9068616,113.161,0.199,1462.8
roman-empire,GT-sep,TABM_k2,2,1,512,3e-05,2270368,59.339,0.292,1432.2
roman-empire,GT-sep,TABM_k4,4,1,512,3e-05,2274112,118.267,0.172,1432.3
roman-empire,GT-sep,TABM_k8,8,1,512,3e-05,2281600,236.236,0.312,1432.4
roman-empire,GT-sep,BASE,1,2,512,3e-05,4369938,54.226,0.151,2297.4
roman-empire,GT-sep,ENS_k4,4,2,512,3e-05,17479752,215.871,0.136,2499.3
roman-empire,GT-sep,TABM_k2,2,2,512,3e-05,4373152,110.82,0.232,2379.4
roman-empire,GT-sep,TABM_k4,4,2,512,3e-05,4376896,221.459,0.741,2379.4
roman-empire,GT-sep,TABM_k8,8,2,512,3e-05,4384384,442.158,0.801,2379.5
roman-empire,GT-sep,BASE,1,3,512,3e-05,6472722,80.02,0.109,3236.6
roman-empire,GT-sep,ENS_k4,4,3,512,3e-05,25890888,319.211,0.454,3538.2
roman-empire,GT-sep,TABM_k2,2,3,512,3e-05,6475936,162.383,0.202,3327.2
roman-empire,GT-sep,TABM_k4,4,3,512,3e-05,6479680,324.261,0.585,3327.3
roman-empire,GT-sep,TABM_k8,8,3,512,3e-05,6487168,647.717,0.781,3327.4
roman-empire,GT-sep,BASE,1,4,512,3e-05,8575506,105.797,0.153,4176.4
roman-empire,GT-sep,ENS_k4,4,4,512,3e-05,34302024,422.17,0.297,4574.2
roman-empire,GT-sep,TABM_k2,2,4,512,3e-05,8578720,213.942,0.511,4274.8
roman-empire,GT-sep,TABM_k4,4,4,512,3e-05,8582464,427.348,0.593,4274.8
roman-empire,GT-sep,TABM_k8,8,4,512,3e-05,8589952,853.739,0.981,4275.0
roman-empire,GT-sep,BASE,1,5,512,3e-05,10678290,131.683,0.288,5116.0
roman-empire,GT-sep,ENS_k4,4,5,512,3e-05,42713160,525.491,0.755,5611.1
roman-empire,GT-sep,TABM_k2,2,5,512,3e-05,10681504,265.752,0.537,5222.7
roman-empire,GT-sep,TABM_k4,4,5,512,3e-05,10685248,530.409,0.78,5222.8
roman-empire,GT-sep,TABM_k8,8,5,512,3e-05,10692736,1059.872,1.291,5222.9
roman-empire,TAG,BASE,1,1,512,3e-05,1739794,23.473,0.062,736.6
roman-empire,TAG,ENS_k4,4,1,512,3e-05,6959176,93.425,0.157,816.3
roman-empire,TAG,TABM_k2,2,1,512,3e-05,1743008,49.44,0.132,884.7
roman-empire,TAG,TABM_k4,4,1,512,3e-05,1746752,98.629,0.189,884.8
roman-empire,TAG,TABM_k8,8,1,512,3e-05,1754240,196.94,0.256,884.9
roman-empire,TAG,BASE,1,2,512,3e-05,3315218,44.278,0.074,1131.4
roman-empire,TAG,ENS_k4,4,2,512,3e-05,13260872,176.483,0.172,1283.2
roman-empire,TAG,TABM_k2,2,2,512,3e-05,3318432,91.209,0.46,1285.5
roman-empire,TAG,TABM_k4,4,2,512,3e-05,3322176,181.733,0.245,1285.6
roman-empire,TAG,TABM_k8,8,2,512,3e-05,3329664,363.143,0.904,1285.7
roman-empire,TAG,BASE,1,3,512,3e-05,4890642,65.091,0.075,1526.2
roman-empire,TAG,ENS_k4,4,3,512,3e-05,19562568,259.663,0.238,1750.1
roman-empire,TAG,TABM_k2,2,3,512,3e-05,4893856,132.626,0.306,1686.3
roman-empire,TAG,TABM_k4,4,3,512,3e-05,4897600,264.865,0.275,1686.3
roman-empire,TAG,TABM_k8,8,3,512,3e-05,4905088,529.202,0.422,1686.5
roman-empire,TAG,BASE,1,4,512,3e-05,6466066,85.973,0.148,1920.9
roman-empire,TAG,ENS_k4,4,4,512,3e-05,25864264,342.998,0.259,2216.9
roman-empire,TAG,TABM_k2,2,4,512,3e-05,6469280,174.271,0.29,2087.1
roman-empire,TAG,TABM_k4,4,4,512,3e-05,6473024,348.149,0.521,2087.1
roman-empire,TAG,TABM_k8,8,4,512,3e-05,6480512,695.9,0.716,2087.2
roman-empire,TAG,BASE,1,5,512,3e-05,8041490,106.801,0.121,2315.7
roman-empire,TAG,ENS_k4,4,5,512,3e-05,32165960,426.398,0.565,2683.8
roman-empire,TAG,TABM_k2,2,5,512,3e-05,8044704,216.001,0.553,2487.8
roman-empire,TAG,TABM_k4,4,5,512,3e-05,8048448,431.424,0.551,2487.9
roman-empire,TAG,TABM_k8,8,5,512,3e-05,8055936,861.702,0.666,2488.0
