dataset,model,num_layers,split,best_step,train_acc,val_acc,test_acc,test_loss,test_f1_macro,test_f1_weighted,test_prec_macro,test_rec_macro,test_roc_auc
roman-empire,GT,5,8,956,0.9901156425476074,0.8838481903076172,0.8879279494285583,0.4331141710281372,0.8608035174545878,0.8867097203371765,0.8591023134852738,0.8651030932039052,
roman-empire,GT,5,9,997,0.9956756234169006,0.8912621140480042,0.8911048173904419,0.4327976405620575,0.864131835168817,0.8891802613960444,0.8580164567453078,0.8729393563357174,
roman-empire,GT-sep,5,0,981,0.9975289106369019,0.8870255947113037,0.8808683156967163,0.4927545487880707,0.8478139186282792,0.8785672328501071,0.845095850569894,0.8532097710379123,
roman-empire,GT-sep,5,1,959,0.9961168766021729,0.8896734118461609,0.8810448050498962,0.47482725977897644,0.8495479342580562,0.8791447378475102,0.8509103070487026,0.851141760446719,
roman-empire,GT-sep,5,2,998,0.9980584383010864,0.8838481903076172,0.8889868855476379,0.4666874408721924,0.8600393925595125,0.8872787053316477,0.8606965652978905,0.8619684296420091,
roman-empire,GT-sep,5,3,971,0.9983232021331787,0.8891438245773315,0.8840451836585999,0.5033839344978333,0.8558292428299972,0.8818785925549393,0.8568965775606964,0.8579934614284752,
roman-empire,GT-sep,5,4,949,0.9902921319007874,0.8834951519966125,0.87257319688797,0.4974585473537445,0.839575581764593,0.869285945005966,0.8340888507152152,0.850040628740644,
roman-empire,GT-sep,5,5,990,0.9973524212837219,0.8827890157699585,0.8838686943054199,0.48351171612739563,0.8497293557304584,0.8816400217419265,0.8498155312987546,0.8518996973946269,
roman-empire,GT-sep,5,6,943,0.9962051510810852,0.879435122013092,0.8757500648498535,0.5231536030769348,0.8439951198510968,0.8735197292619062,0.8436413025085193,0.848366901349328,
roman-empire,GT-sep,5,7,980,0.9970876574516296,0.8797881603240967,0.8886339068412781,0.4948986768722534,0.8593338144056673,0.8866454596256267,0.8649509314332681,0.856813991555711,
roman-empire,GT-sep,5,8,990,0.9955873489379883,0.8808472752571106,0.8881044387817383,0.46084633469581604,0.8619655627736598,0.8866773005395823,0.859328583672867,0.8665111855495673,
roman-empire,GT-sep,5,9,995,0.9962933659553528,0.885966420173645,0.8833391666412354,0.46741852164268494,0.851640968016458,0.8809096876298351,0.84965069074986,0.8575110318622567,
roman-empire,TAG,5,0,994,0.9987644553184509,0.8757281303405762,0.869925856590271,0.5552986264228821,0.8367335508447707,0.8695329540597823,0.8322460662921184,0.8422743330887195,
roman-empire,TAG,4,1,999,0.9984996914863586,0.8780229091644287,0.8778679370880127,0.5342807173728943,0.8457329397580273,0.8761292017161726,0.8458863991799461,0.8478738805063181,
roman-empire,TAG,5,2,995,0.9989410042762756,0.8700793981552124,0.8766325116157532,0.5203050971031189,0.8488568423207815,0.8762057361438133,0.8471880849561285,0.8514636642821063,
roman-empire,TAG,5,3,979,0.9992939829826355,0.8783759474754333,0.8729261755943298,0.5796816349029541,0.841934883581794,0.872347238738606,0.8398339501730078,0.845309467368725,
roman-empire,TAG,5,4,998,0.9973524212837219,0.8778464198112488,0.8686904311180115,0.5799865126609802,0.8375021290681666,0.8663918738028029,0.8328699523269143,0.8455760639516654,
roman-empire,TAG,5,5,978,0.9992057681083679,0.8780229091644287,0.8873984813690186,0.4903232157230377,0.8570467506163061,0.8870513532902662,0.8555305277950437,0.8594032353798586,
roman-empire,TAG,4,6,954,0.9976171851158142,0.8691967725753784,0.8690434098243713,0.5541021823883057,0.8389090262737423,0.8674872317405747,0.8383150720082552,0.8418507593900513,
roman-empire,TAG,5,7,933,0.9974406957626343,0.873080313205719,0.8738086819648743,0.5657126307487488,0.8409411338583254,0.8731334969762387,0.8334868527586028,0.8503965085426248,
roman-empire,TAG,5,8,962,0.9972641468048096,0.8718446493148804,0.8718672394752502,0.5676129460334778,0.8404776556214819,0.8716872939983568,0.8333440004767708,0.8497948590267016,
roman-empire,TAG,4,9,963,0.9977936744689941,0.8753750920295715,0.8718672394752502,0.5213794112205505,0.8357579851924396,0.8708114031075381,0.830720201618414,0.8427293166436736,
