dataset,model,num_layers,split,best_step,train_acc,val_acc,test_acc,test_loss,test_f1_macro,test_f1_weighted,test_prec_macro,test_rec_macro,test_roc_auc
roman-empire,ResNet,5,5,491,0.7252669930458069,0.6589584946632385,0.662725031375885,1.0571001768112183,0.5470804797889715,0.6385209529933283,0.5586528958870676,0.5627757087011316,
roman-empire,ResNet,5,6,336,0.6964080929756165,0.6547219753265381,0.6533709764480591,1.0908080339431763,0.517601538362699,0.6213041093652141,0.5440097221920908,0.5409294037513086,
roman-empire,ResNet,5,7,422,0.721383810043335,0.6522506475448608,0.6583127379417419,1.1008949279785156,0.5267059055389454,0.630704006132811,0.538949524785496,0.5491152759591083,
roman-empire,ResNet,5,8,415,0.7159121036529541,0.6524271965026855,0.6614895462989807,1.0878502130508423,0.5337901304739662,0.6371986745712624,0.5388643151444278,0.5584288240193344,
roman-empire,GCN,1,0,908,0.896213948726654,0.7445719242095947,0.7313801646232605,0.923514723777771,0.6555298566062012,0.7262450385157978,0.6653252238412124,0.6573275129731033,
roman-empire,ResNet,5,9,397,0.7126467227935791,0.65754634141922,0.651606023311615,1.1091269254684448,0.5203222367589216,0.6185976833926371,0.5437294572119934,0.5441944254286989,
roman-empire,GCN,1,1,994,0.9070691466331482,0.7408649325370789,0.7391457557678223,0.9520554542541504,0.6721145958347761,0.7328850842992347,0.6925350377038318,0.6667096238316793,
roman-empire,GCN,1,2,974,0.9176595211029053,0.7394527792930603,0.7380868196487427,0.9074859619140625,0.6794041252191646,0.7339048628666045,0.6943584579472073,0.6727689415351196,
roman-empire,GCN,1,3,837,0.8710616827011108,0.7385701537132263,0.7331450581550598,0.888414740562439,0.6549111990935498,0.7226939431013018,0.6789797452170037,0.6491422742575357,
roman-empire,GCN,1,4,988,0.9150119423866272,0.7449249625205994,0.7195551991462708,0.993579089641571,0.6474953131320821,0.7121941033650347,0.6600645509340191,0.6468027626830462,
roman-empire,GCN,1,5,844,0.8743270635604858,0.7341570854187012,0.7437345385551453,0.8719145059585571,0.6656685563360212,0.7363243145677835,0.7056177851977155,0.6529845776162848,
roman-empire,GCN,1,6,975,0.9098932147026062,0.73062664270401,0.7285562753677368,0.943911075592041,0.656141691890264,0.7231765354734208,0.6741729258447822,0.6495171478125771,
roman-empire,GCN,1,8,930,0.9064513444900513,0.73062664270401,0.7304976582527161,0.9504643678665161,0.6573213218492048,0.7252749226191425,0.6824061371416975,0.652774831501431,
roman-empire,GCN,1,7,991,0.9124525785446167,0.7438658475875854,0.7435580492019653,0.9274830222129822,0.6842324390667647,0.737128461871588,0.7160376655144802,0.6691134303289321,
roman-empire,GCN,1,9,901,0.8979790210723877,0.7376875281333923,0.7271443605422974,0.9365079998970032,0.6493508681045905,0.7189043036115352,0.6675746519640796,0.6475295116713593,
roman-empire,GCN,2,0,703,0.9278969168663025,0.7283318638801575,0.7241439819335938,0.9409237504005432,0.6549582594553267,0.7214709643088748,0.663962114227753,0.6571952851455745,
roman-empire,GCN,2,1,831,0.9545494914054871,0.7362753748893738,0.7260854244232178,0.9873059988021851,0.6476219865000611,0.7173245320387852,0.6638379359346678,0.6498527429350497,
roman-empire,GCN,2,2,655,0.9083046913146973,0.7237422466278076,0.7213201522827148,0.9033443331718445,0.6596418684912696,0.7155514810162871,0.677225480010385,0.6575913833811295,
roman-empire,GCN,2,3,728,0.9324861168861389,0.7332744598388672,0.73261559009552,0.9235175251960754,0.6715030049213254,0.7257626897879603,0.678717208226192,0.6738863079343628,
roman-empire,GCN,2,4,675,0.9160709977149963,0.7292144298553467,0.7200846672058105,0.939298152923584,0.6480382575486432,0.71481777478842,0.6563837215205846,0.6574025981472913,
roman-empire,GCN,2,5,720,0.9240137934684753,0.7255074977874756,0.7299681901931763,0.8990280628204346,0.6626994972663655,0.7253995496291425,0.678692238790783,0.6628964635476636,
roman-empire,GCN,2,6,737,0.9287794828414917,0.7274492383003235,0.7276738286018372,0.9266661405563354,0.6626570274387092,0.7206975995221419,0.6720027805236408,0.6650660292499395,
roman-empire,GCN,2,7,920,0.9676110148429871,0.7263901233673096,0.7292622327804565,1.000512719154358,0.6655724463613906,0.7220328382230234,0.671772807050599,0.6698462773693238,
roman-empire,GCN,2,8,867,0.9581678509712219,0.725154459476471,0.730674147605896,0.9686535000801086,0.664147339523853,0.7255018444093236,0.6790035116140791,0.661366843844184,
roman-empire,GCN,2,9,686,0.917394757270813,0.7304500937461853,0.7174373269081116,0.94410240650177,0.6437099720750246,0.7093488138591888,0.6565902445380482,0.6485054420188485,
roman-empire,GCN,3,0,699,0.9602859616279602,0.7295675277709961,0.7199081778526306,0.9849827289581299,0.6587542572907754,0.7212941717054898,0.660533789888627,0.6625210248878439,
roman-empire,GCN,3,2,781,0.9705233573913574,0.7281553149223328,0.723614513874054,0.956637442111969,0.6656627158149244,0.7229883583209951,0.6664905123649588,0.6698447898964471,
