dataset,model,num_layers,split,num_model_seeds,best_steps,individual_val_accs,train_acc,val_acc,test_acc,test_loss,test_f1_macro,test_f1_weighted,test_prec_macro,test_rec_macro,test_roc_auc
roman-empire,GCN,1,4,4,"[966, 987, 978, 964]","[0.7428, 0.7435, 0.7412, 0.7395]",0.9078633785247803,0.7475727796554565,0.7252029180526733,0.9512632489204407,0.6468877910930941,0.7156298283932558,0.6578609099056518,0.6496367306628357,
roman-empire,GCN,3,5,4,"[742, 617, 553, 631]","[0.7379, 0.7387, 0.7322, 0.7319]",0.9466949105262756,0.7431597113609314,0.7391457557678223,0.8179782032966614,0.6728588646240731,0.737124952740463,0.6800163736328094,0.6778631566523388,
roman-empire,GCN,3,6,4,"[818, 566, 905, 770]","[0.7252, 0.7244, 0.7292, 0.7287]",0.9755538105964661,0.738923192024231,0.7430285811424255,0.8648831248283386,0.6910058874668266,0.7415850526649141,0.6862966685665817,0.7000259496068566,
roman-empire,GCN,1,7,4,"[990, 968, 946, 954]","[0.7458, 0.7412, 0.7379, 0.7409]",0.9109522700309753,0.747043251991272,0.7430285811424255,0.903889536857605,0.6814094740314024,0.7342537480596082,0.7075207905891556,0.672003134808858,
roman-empire,GCN,1,8,4,"[997, 888, 967, 938]","[0.7345, 0.7382, 0.734, 0.7359]",0.9107757806777954,0.7410414814949036,0.7387927770614624,0.8878710865974426,0.6694542357058365,0.7323415339647975,0.6896684393534774,0.6638533827088252,
roman-empire,GCN,1,9,4,"[992, 957, 959, 996]","[0.7342, 0.7343, 0.7352, 0.7349]",0.9131585955619812,0.7412179708480835,0.7428520917892456,0.9062755107879639,0.672612248876399,0.7352033674980533,0.6855950719076739,0.672616184760951,
roman-empire,SAGE,5,0,4,"[991, 976, 991, 992]","[0.854, 0.8542, 0.8545, 0.8561]",0.9996470212936401,0.8601941466331482,0.8542181253433228,0.7738159894943237,0.8153015757313306,0.8525266989172721,0.8094372957669982,0.8240165566502283,
roman-empire,SAGE,5,1,4,"[982, 980, 981, 985]","[0.8634, 0.8651, 0.8635, 0.865]",0.9996470212936401,0.8700793981552124,0.8660430312156677,0.706825852394104,0.8306722432767665,0.8639338189372565,0.8345301923363158,0.8291303878696904,
roman-empire,SAGE,5,2,4,"[963, 992, 980, 972]","[0.8492, 0.8521, 0.8517, 0.8512]",0.9996470212936401,0.8568402528762817,0.8595128655433655,0.7267763018608093,0.8235512889089024,0.8577941746068829,0.8233601242670205,0.8255428914702722,
roman-empire,SAGE,5,3,4,"[996, 959, 984, 988]","[0.8545, 0.8581, 0.8591, 0.8565]",0.9990292191505432,0.8600176572799683,0.8619837164878845,0.7283944487571716,0.8275732232363885,0.860378778366784,0.8239737655343726,0.8332613172605677,
roman-empire,SAGE,5,4,4,"[926, 857, 971, 1000]","[0.8593, 0.8547, 0.8561, 0.8547]",0.9992939829826355,0.8609002232551575,0.8558065295219421,0.7405053377151489,0.818322863517869,0.8536764134889107,0.8104893766336095,0.8298749953872316,
roman-empire,SAGE,5,5,4,"[985, 936, 954, 978]","[0.8517, 0.8554, 0.8533, 0.8544]",0.9989410042762756,0.8570167422294617,0.8731026649475098,0.655303418636322,0.8374950804639933,0.8712264680529399,0.8445610109175209,0.8335128754115743,
roman-empire,SAGE,5,6,4,"[966, 996, 997, 950]","[0.8538, 0.851, 0.8537, 0.8528]",0.9993822574615479,0.8582524061203003,0.860748291015625,0.7380813956260681,0.8220400644287866,0.8594486018841724,0.8189139845307882,0.8272608222727003,
roman-empire,SAGE,5,7,4,"[934, 988, 976, 996]","[0.8473, 0.8526, 0.8521, 0.8521]",0.9994704723358154,0.8570167422294617,0.8596893548965454,0.7574508786201477,0.8212921431465809,0.8577106433643578,0.8213861281908525,0.8233013114982722,
roman-empire,SAGE,5,8,4,"[939, 964, 881, 992]","[0.8574, 0.8528, 0.8554, 0.8523]",0.9992939829826355,0.8596645593643188,0.8603953123092651,0.7340257167816162,0.8264339497179019,0.859144061524343,0.8258268164051252,0.8283493931976155,
roman-empire,SAGE,5,9,4,"[980, 986, 949, 964]","[0.8517, 0.851, 0.8537, 0.8568]",0.9994704723358154,0.8594880700111389,0.853512167930603,0.7584268450737,0.813126587344929,0.8512259976207582,0.8072210178339817,0.8221805567235799,
roman-empire,GAT,4,0,4,"[977, 995, 997, 973]","[0.7961, 0.8064, 0.8088, 0.8079]",0.9842908978462219,0.8164165616035461,0.8090363144874573,0.6824873685836792,0.7517982690848329,0.8061949785486618,0.7478287056185109,0.7628829681702338,
roman-empire,GAT,5,1,4,"[937, 995, 941, 946]","[0.8134, 0.8088, 0.8102, 0.8161]",0.9849969148635864,0.8243600726127625,0.8212142586708069,0.6385782957077026,0.7714479891113832,0.8195699967862045,0.7781607098807302,0.7710487407837584,
roman-empire,GAT,5,2,4,"[972, 1000, 983, 957]","[0.7972, 0.8034, 0.8032, 0.7968]",0.9891448616981506,0.8141217827796936,0.8182138800621033,0.622647225856781,0.7768843561035295,0.8170377687519331,0.7725753772400495,0.7850791485286868,
roman-empire,GAT,5,3,4,"[995, 941, 958, 945]","[0.8145, 0.8131, 0.8083, 0.8117]",0.9875562787055969,0.8241835832595825,0.8198022842407227,0.6239268779754639,0.7751494842297756,0.8191255631394466,0.7723858614328065,0.7832111420280737,
roman-empire,GAT,5,4,4,"[999, 996, 977, 987]","[0.8037, 0.8051, 0.8041, 0.8095]",0.9864972233772278,0.8194174766540527,0.8076243996620178,0.6870931386947632,0.7520285629275448,0.8060211007250653,0.7480273251384411,0.764861426444825,
roman-empire,GAT,5,5,4,"[984, 1000, 935, 959]","[0.8106, 0.8055, 0.8129, 0.7982]",0.9894096255302429,0.819240927696228,0.8194493055343628,0.6164469718933105,0.7679012065232963,0.8177883028442577,0.7715997431185867,0.7710572832715974,
roman-empire,GAT,5,6,4,"[937, 978, 1000, 925]","[0.7998, 0.8046, 0.7968, 0.7995]",0.9870267510414124,0.8144748210906982,0.8196257948875427,0.6175886392593384,0.7713274140274643,0.8175854660121827,0.7638193763382009,0.785430115959942,
roman-empire,GAT,5,7,4,"[962, 975, 957, 987]","[0.7963, 0.8079, 0.8007, 0.8051]",0.9889683127403259,0.8142983317375183,0.8194493055343628,0.65854412317276,0.7685748364061362,0.8169979426353075,0.7650043387445984,0.7791129210304969,
roman-empire,GAT,5,8,4,"[913, 987, 948, 886]","[0.7928, 0.8037, 0.8095, 0.8046]",0.9838496446609497,0.8162400722503662,0.8145075440406799,0.652052104473114,0.7619355346103753,0.8131302371973635,0.7613495096125845,0.771876717931428,
roman-empire,GAT,5,9,4,"[932, 970, 932, 929]","[0.8092, 0.8065, 0.8074, 0.8079]",0.9875562787055969,0.8215357065200806,0.8157430291175842,0.6539421081542969,0.7638979843164307,0.812704927601356,0.7584859134739159,0.7768941453140125,
roman-empire,GAT-sep,5,0,4,"[936, 910, 916, 986]","[0.8851, 0.8863, 0.8888, 0.8879]",0.9998235106468201,0.8935568928718567,0.8842216730117798,0.5636681914329529,0.8545839085707653,0.8831772813234681,0.8476248534245906,0.8658847082973314,
roman-empire,GAT-sep,5,1,4,"[964, 990, 992, 982]","[0.8955, 0.895, 0.8934, 0.8923]",1.0,0.9011473655700684,0.8974584937095642,0.49916717410087585,0.8742397267686208,0.8969229412554198,0.8734417443925503,0.8769235262904784,
roman-empire,GAT-sep,5,2,4,"[972, 970, 969, 984]","[0.8745, 0.8801, 0.8849, 0.8766]",1.0,0.8852603435516357,0.8937521576881409,0.5213450193405151,0.8707389582682477,0.8934845451442984,0.8679893007358096,0.8762970025508546,
roman-empire,GAT-sep,5,3,4,"[969, 974, 991, 914]","[0.8916, 0.8828, 0.8883, 0.8853]",0.9996470212936401,0.894262969493866,0.8939286470413208,0.5169877409934998,0.8704098155025323,0.8934384839601526,0.8673189477370566,0.8753520233296982,
roman-empire,GAT-sep,5,4,4,"[987, 927, 981, 879]","[0.8856, 0.8879, 0.8837, 0.8821]",0.9999117851257324,0.8905560374259949,0.8918107748031616,0.532250702381134,0.8661432730094892,0.8907009095702066,0.8595200565034112,0.8762350769587517,
roman-empire,GAT-sep,5,5,4,"[978, 940, 949, 938]","[0.8861, 0.8883, 0.8897, 0.8854]",0.9997352361679077,0.893203854560852,0.8995763659477234,0.4730566442012787,0.8724650375631396,0.898926801230013,0.8741280247078135,0.8735064938875259,
roman-empire,GAT-sep,5,6,4,"[952, 980, 999, 965]","[0.8801, 0.8787, 0.8803, 0.8787]",0.9997352361679077,0.8861429691314697,0.8949876427650452,0.5356206893920898,0.8716546358437054,0.894350628549414,0.8680939972299485,0.8792066304520377,
roman-empire,GAT-sep,5,7,4,"[967, 970, 997, 981]","[0.874, 0.8775, 0.8805, 0.8768]",0.9995587468147278,0.8815533518791199,0.8813977837562561,0.5831333994865417,0.854722370094716,0.880616074891883,0.853902145811751,0.8600557247217341,
roman-empire,GAT-sep,5,8,4,"[919, 959, 996, 991]","[0.8881, 0.8814, 0.887, 0.8868]",0.9998235106468201,0.8919681906700134,0.888810396194458,0.5292142033576965,0.8621866162081866,0.8880965179615283,0.8615579475109586,0.8655573106188146,
roman-empire,GAT-sep,5,9,4,"[966, 974, 997, 970]","[0.8865, 0.889, 0.8867, 0.8877]",0.9996470212936401,0.8958516716957092,0.8930462002754211,0.5398662090301514,0.8665865862113015,0.8920021497247743,0.8605421635071304,0.8757964340469527,
roman-empire,GT,5,0,4,"[965, 950, 923, 981]","[0.8733, 0.8789, 0.8726, 0.8764]",0.9998235106468201,0.8820829391479492,0.8739851713180542,0.5925593972206116,0.8381677421123712,0.8720310654632596,0.8344400436360869,0.8443178709431907,
roman-empire,GT,5,1,4,"[985, 974, 987, 973]","[0.8831, 0.8846, 0.8849, 0.881]",1.0,0.8891438245773315,0.8865160346031189,0.5526032447814941,0.8596696988270711,0.884890718729693,0.8636496243873715,0.8574296071242767,
roman-empire,GT,5,2,4,"[949, 1000, 906, 940]","[0.8724, 0.8754, 0.8734, 0.8738]",0.9999117851257324,0.880317747592926,0.8849276304244995,0.5600686073303223,0.8586920717416456,0.8832394399257754,0.8598356527913372,0.8596059293737571,
roman-empire,GT,5,3,4,"[886, 950, 985, 887]","[0.8849, 0.8844, 0.8824, 0.8805]",0.9997352361679077,0.8909090757369995,0.8836921453475952,0.5552248358726501,0.858536545901833,0.8823987245622316,0.8595844623807457,0.859219894904709,
roman-empire,GT,5,4,4,"[772, 978, 990, 868]","[0.8766, 0.8789, 0.872, 0.8764]",0.9998235106468201,0.880317747592926,0.8831626772880554,0.5695640444755554,0.8541683596371747,0.8810627760165712,0.8503029696098497,0.8609424348723621,
