dataset,model,variant,k,num_layers,hidden_dim,lr,num_params,mean_step_ms,std_step_ms,peak_mem_mb
amazon-ratings,GAT-sep,TABM_k2,2,5,512,3e-05,6734956,301.226,0.312,9302.3
amazon-ratings,GAT-sep,TABM_k4,4,5,512,3e-05,6738648,601.654,0.433,9302.4
amazon-ratings,GAT-sep,TABM_k8,8,5,512,3e-05,6746032,1202.255,0.745,9302.5
amazon-ratings,GT,BASE,1,1,512,3e-05,1998341,35.355,0.069,2828.1
amazon-ratings,GT,ENS_k4,4,1,512,3e-05,7993364,140.848,0.125,2919.6
amazon-ratings,GT,TABM_k2,2,1,512,3e-05,2001516,73.328,0.244,2907.0
amazon-ratings,GT,TABM_k4,4,1,512,3e-05,2005208,148.585,13.119,2907.0
amazon-ratings,GT,TABM_k8,8,1,512,3e-05,2012592,292.474,0.42,2907.2
amazon-ratings,GT,BASE,1,2,512,3e-05,3838981,67.881,0.13,4477.5
amazon-ratings,GT,ENS_k4,4,2,512,3e-05,15355924,270.769,0.247,4653.2
amazon-ratings,GT,TABM_k2,2,2,512,3e-05,3842156,138.316,0.154,4563.8
amazon-ratings,GT,TABM_k4,4,2,512,3e-05,3845848,276.303,0.262,4563.8
amazon-ratings,GT,TABM_k8,8,2,512,3e-05,3853232,552.63,0.552,4563.9
amazon-ratings,GT,BASE,1,3,512,3e-05,5679621,100.487,0.112,6126.5
amazon-ratings,GT,ENS_k4,4,3,512,3e-05,22718484,401.109,0.279,6386.5
amazon-ratings,GT,TABM_k2,2,3,512,3e-05,5682796,203.499,0.318,6219.8
amazon-ratings,GT,TABM_k4,4,3,512,3e-05,5686488,406.432,0.326,6219.9
amazon-ratings,GT,TABM_k8,8,3,512,3e-05,5693872,813.115,0.82,6220.0
amazon-ratings,GT,BASE,1,4,512,3e-05,7520261,133.104,0.13,7776.4
amazon-ratings,GT,ENS_k4,4,4,512,3e-05,30081044,531.61,0.392,8120.7
amazon-ratings,GT,TABM_k2,2,4,512,3e-05,7523436,268.792,0.256,7875.9
amazon-ratings,GT,TABM_k4,4,4,512,3e-05,7527128,536.688,0.491,7876.0
amazon-ratings,GT,TABM_k8,8,4,512,3e-05,7534512,1074.264,4.74,7876.1
amazon-ratings,GT,BASE,1,5,512,3e-05,9360901,165.753,0.21,9425.5
amazon-ratings,GT,ENS_k4,4,5,512,3e-05,37443604,661.557,0.359,9854.0
amazon-ratings,GT,TABM_k2,2,5,512,3e-05,9364076,334.682,7.318,9532.0
amazon-ratings,GT,TABM_k4,4,5,512,3e-05,9367768,666.83,0.414,9532.0
amazon-ratings,GT,TABM_k8,8,5,512,3e-05,9375152,1332.925,2.816,9532.2
amazon-ratings,GT-sep,BASE,1,1,512,3e-05,2260485,37.818,0.067,2832.1
amazon-ratings,GT-sep,ENS_k4,4,1,512,3e-05,9041940,150.762,0.125,2935.9
amazon-ratings,GT-sep,TABM_k2,2,1,512,3e-05,2263660,78.324,0.217,2911.8
amazon-ratings,GT-sep,TABM_k4,4,1,512,3e-05,2267352,156.309,0.21,2911.8
amazon-ratings,GT-sep,TABM_k8,8,1,512,3e-05,2274736,312.312,0.422,2911.9
amazon-ratings,GT-sep,BASE,1,2,512,3e-05,4363269,72.818,0.064,4531.6
amazon-ratings,GT-sep,ENS_k4,4,2,512,3e-05,17453076,290.684,0.209,4733.2
amazon-ratings,GT-sep,TABM_k2,2,2,512,3e-05,4366444,148.281,0.178,4619.1
amazon-ratings,GT-sep,TABM_k4,4,2,512,3e-05,4370136,296.184,0.255,4619.1
amazon-ratings,GT-sep,TABM_k8,8,2,512,3e-05,4377520,592.421,0.44,4619.2
amazon-ratings,GT-sep,BASE,1,3,512,3e-05,6466053,107.959,0.13,6231.4
amazon-ratings,GT-sep,ENS_k4,4,3,512,3e-05,25864212,431.068,0.217,6531.3
amazon-ratings,GT-sep,TABM_k2,2,3,512,3e-05,6469228,218.419,0.222,6327.3
amazon-ratings,GT-sep,TABM_k4,4,3,512,3e-05,6472920,436.321,0.334,6327.4
amazon-ratings,GT-sep,TABM_k8,8,3,512,3e-05,6480304,872.474,0.714,6327.5
amazon-ratings,GT-sep,BASE,1,4,512,3e-05,8568837,143.212,0.182,7931.6
amazon-ratings,GT-sep,ENS_k4,4,4,512,3e-05,34275348,571.363,0.342,8328.5
amazon-ratings,GT-sep,TABM_k2,2,4,512,3e-05,8572012,288.561,0.249,8036.9
amazon-ratings,GT-sep,TABM_k4,4,4,512,3e-05,8575704,576.47,0.503,8037.0
amazon-ratings,GT-sep,TABM_k8,8,4,512,3e-05,8583088,1152.265,0.651,8037.1
amazon-ratings,GT-sep,BASE,1,5,512,3e-05,10671621,178.062,0.14,9631.9
amazon-ratings,GT-sep,ENS_k4,4,5,512,3e-05,42686484,711.593,0.418,10125.7
amazon-ratings,GT-sep,TABM_k2,2,5,512,3e-05,10674796,358.987,0.336,9745.4
amazon-ratings,GT-sep,TABM_k4,4,5,512,3e-05,10678488,716.754,0.589,9745.5
amazon-ratings,GT-sep,TABM_k8,8,5,512,3e-05,10685872,1433.165,0.934,9745.6
amazon-ratings,TAG,BASE,1,1,512,3e-05,1733125,33.27,0.071,1244.3
amazon-ratings,TAG,ENS_k4,4,1,512,3e-05,6932500,132.403,0.103,1323.6
amazon-ratings,TAG,TABM_k2,2,1,512,3e-05,1736300,69.103,0.139,1323.7
amazon-ratings,TAG,TABM_k4,4,1,512,3e-05,1739992,137.99,0.262,1323.8
amazon-ratings,TAG,TABM_k8,8,1,512,3e-05,1747376,275.704,0.392,1323.9
amazon-ratings,TAG,BASE,1,2,512,3e-05,3308549,63.723,0.179,1669.9
amazon-ratings,TAG,ENS_k4,4,2,512,3e-05,13234196,254.088,0.213,1821.4
amazon-ratings,TAG,TABM_k2,2,2,512,3e-05,3311724,129.967,0.19,1755.5
amazon-ratings,TAG,TABM_k4,4,2,512,3e-05,3315416,259.646,0.311,1755.6
amazon-ratings,TAG,TABM_k8,8,2,512,3e-05,3322800,519.05,0.549,1755.7
amazon-ratings,TAG,BASE,1,3,512,3e-05,4883973,94.146,0.16,2095.5
amazon-ratings,TAG,ENS_k4,4,3,512,3e-05,19535892,375.614,0.217,2319.1
amazon-ratings,TAG,TABM_k2,2,3,512,3e-05,4887148,190.917,0.252,2187.3
amazon-ratings,TAG,TABM_k4,4,3,512,3e-05,4890840,381.297,0.384,2187.4
amazon-ratings,TAG,TABM_k8,8,3,512,3e-05,4898224,762.133,0.817,2187.5
amazon-ratings,TAG,BASE,1,4,512,3e-05,6459397,124.539,0.112,2521.2
amazon-ratings,TAG,ENS_k4,4,4,512,3e-05,25837588,498.124,7.621,2816.8
amazon-ratings,TAG,TABM_k2,2,4,512,3e-05,6462572,252.766,6.926,2619.0
amazon-ratings,TAG,TABM_k4,4,4,512,3e-05,6466264,502.985,0.618,2619.0
amazon-ratings,TAG,TABM_k8,8,4,512,3e-05,6473648,1006.405,10.958,2619.1
amazon-ratings,TAG,BASE,1,5,512,3e-05,8034821,156.461,8.032,2946.8
amazon-ratings,TAG,ENS_k4,4,5,512,3e-05,32139284,620.39,11.329,3314.6
amazon-ratings,TAG,TABM_k2,2,5,512,3e-05,8037996,312.677,0.335,3050.6
amazon-ratings,TAG,TABM_k4,4,5,512,3e-05,8041688,625.375,7.512,3050.7
amazon-ratings,TAG,TABM_k8,8,5,512,3e-05,8049072,1248.87,0.86,3050.8
