dataset,model,variant,k,num_layers,hidden_dim,lr,num_params,mean_step_ms,std_step_ms,peak_mem_mb
minesweeper,GAT-sep,BASE,1,2,512,3e-05,2635265,28.096,0.098,1890.4
minesweeper,GAT-sep,ENS_k4,4,2,512,3e-05,10541060,111.311,0.437,2014.7
minesweeper,GAT-sep,TABM_k2,2,2,512,3e-05,2637842,56.846,0.345,1917.9
minesweeper,GAT-sep,TABM_k4,4,2,512,3e-05,2640932,112.316,0.264,1917.9
minesweeper,GAT-sep,TABM_k8,8,2,512,3e-05,2647112,225.063,1.346,1918.0
minesweeper,GAT-sep,BASE,1,3,512,3e-05,3950081,41.167,0.106,2563.5
minesweeper,GAT-sep,ENS_k4,4,3,512,3e-05,15800324,163.831,0.361,2750.5
minesweeper,GAT-sep,TABM_k2,2,3,512,3e-05,3952658,82.736,0.186,2596.3
minesweeper,GAT-sep,TABM_k4,4,3,512,3e-05,3955748,166.12,0.854,2596.4
minesweeper,GAT-sep,TABM_k8,8,3,512,3e-05,3961928,330.99,1.428,2596.4
minesweeper,GAT-sep,BASE,1,4,512,3e-05,5264897,54.533,0.116,3237.0
minesweeper,GAT-sep,ENS_k4,4,4,512,3e-05,21059588,217.49,0.581,3485.8
minesweeper,GAT-sep,TABM_k2,2,4,512,3e-05,5267474,109.668,0.443,3274.3
minesweeper,GAT-sep,TABM_k4,4,4,512,3e-05,5270564,218.593,0.588,3274.4
minesweeper,GAT-sep,TABM_k8,8,4,512,3e-05,5276744,436.808,0.958,3274.5
minesweeper,GAT-sep,BASE,1,5,512,3e-05,6579713,67.849,0.141,3910.9
minesweeper,GAT-sep,ENS_k4,4,5,512,3e-05,26318852,270.313,0.493,4218.2
minesweeper,GAT-sep,TABM_k2,2,5,512,3e-05,6582290,136.458,0.442,3955.7
minesweeper,GAT-sep,TABM_k4,4,5,512,3e-05,6585380,271.737,0.798,3955.8
minesweeper,GAT-sep,TABM_k8,8,5,512,3e-05,6591560,542.964,1.276,3955.9
minesweeper,GT,BASE,1,1,512,3e-05,1846273,16.236,0.093,1203.1
minesweeper,GT,ENS_k4,4,1,512,3e-05,7385092,64.268,0.212,1287.7
minesweeper,GT,TABM_k2,2,1,512,3e-05,1848850,33.41,0.43,1226.5
minesweeper,GT,TABM_k4,4,1,512,3e-05,1851940,65.923,0.339,1226.5
minesweeper,GT,TABM_k8,8,1,512,3e-05,1858120,131.369,0.355,1226.6
minesweeper,GT,BASE,1,2,512,3e-05,3686913,31.115,0.093,1907.7
minesweeper,GT,ENS_k4,4,2,512,3e-05,14747652,123.578,0.217,2076.5
minesweeper,GT,TABM_k2,2,2,512,3e-05,3689490,62.93,0.425,1938.0
minesweeper,GT,TABM_k4,4,2,512,3e-05,3692580,125.117,0.276,1938.1
minesweeper,GT,TABM_k8,8,2,512,3e-05,3698760,250.002,0.93,1938.2
minesweeper,GT,BASE,1,3,512,3e-05,5527553,46.04,0.113,2611.5
minesweeper,GT,ENS_k4,4,3,512,3e-05,22110212,183.253,0.424,2864.5
minesweeper,GT,TABM_k2,2,3,512,3e-05,5530130,92.756,0.202,2648.9
minesweeper,GT,TABM_k4,4,3,512,3e-05,5533220,184.833,0.637,2648.9
minesweeper,GT,TABM_k8,8,3,512,3e-05,5539400,368.983,1.359,2649.0
minesweeper,GT,BASE,1,4,512,3e-05,7368193,61.044,0.231,3315.3
minesweeper,GT,ENS_k4,4,4,512,3e-05,29472772,242.89,0.492,3652.6
minesweeper,GT,TABM_k2,2,4,512,3e-05,7370770,122.319,0.283,3359.7
minesweeper,GT,TABM_k4,4,4,512,3e-05,7373860,244.818,0.792,3359.7
minesweeper,GT,TABM_k8,8,4,512,3e-05,7380040,487.752,1.395,3359.8
minesweeper,GT,BASE,1,5,512,3e-05,9208833,76.059,0.165,4018.7
minesweeper,GT,ENS_k4,4,5,512,3e-05,36835332,302.138,0.504,4440.2
minesweeper,GT,TABM_k2,2,5,512,3e-05,9211410,152.346,0.449,4070.1
minesweeper,GT,TABM_k4,4,5,512,3e-05,9214500,303.375,0.753,4070.1
minesweeper,GT,TABM_k8,8,5,512,3e-05,9220680,606.424,1.548,4070.2
minesweeper,GT-sep,BASE,1,1,512,3e-05,2108417,17.519,0.126,1208.5
minesweeper,GT-sep,ENS_k4,4,1,512,3e-05,8433668,68.879,0.294,1307.8
minesweeper,GT-sep,TABM_k2,2,1,512,3e-05,2110994,35.339,0.165,1231.9
